,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
14,14,West Virginia,Hampshire,23175,28,38,6.4,27,45,16,26,132.1,33,10,30,35.0,69,37,37,26,8,84,46,3.8,23,4.1,227.0,7.7,7.2,153,No,11,84,55,18.1,23.4,1.3,0.3,0.1,0.2,1.5,95.6,0,76,71,15.0,18.0,64,54.0,54811,3.1,3.1,87,10,42,16,15,13,20,18,75.7,120,120,120,120,120
15,15,West Virginia,Hancock,28810,25,42,7.6,26,90,16,13,159.6,25,8,58,83.0,146,35,45,23,9,90,57,5.2,18,4.2,143.0,15.5,8.0,119,No,12,86,32,19.0,23.7,2.6,0.5,0.0,0.2,1.6,93.6,0,73,77,13.0,21.0,44,30.0,51017,3.0,3.1,90,8,43,9,12,13,18,16,75.2,120,120,120,120,120
16,16,West Virginia,Hardy,13776,27,40,7.4,27,67,14,21,131.2,35,9,15,36.0,58,43,32,24,8,80,44,5.1,21,3.6,429.0,8.7,6.8,93,Yes,8,81,29,20.5,22.5,2.7,0.7,0.1,0.3,4.9,89.9,3,74,80,20.0,20.0,48,36.0,46658,2.8,2.8,88,9,45,14,11,17,19,16,77.2,120,120,120,120,120
17,17,West Virginia,Harrison,67256,24,37,8.0,26,70,14,42,138.6,32,8,114,85.0,220,48,43,22,10,89,58,4.4,17,5.0,212.0,17.0,7.6,101,Yes,10,84,26,21.2,19.8,1.8,0.6,0.0,0.2,1.7,94.0,0,74,79,20.0,24.0,44,35.0,53909,2.8,2.8,90,8,42,4,12,17,18,15,75.0,120,120,120,120,120
18,18,West Virginia,Jackson,28576,27,43,8.1,24,31,14,26,89.7,33,7,35,42.0,84,41,45,23,9,88,59,5.0,23,5.1,306.0,10.1,8.5,86,No,10,83,45,21.2,20.9,0.6,0.3,0.0,0.3,1.0,96.8,0,77,74,12.0,15.0,45,44.0,50808,3.0,3.2,94,7,43,5,12,16,18,16,76.3,120,120,120,120,120
19,19,West Virginia,Jefferson,57146,21,34,9.1,21,45,17,31,285.8,15,6,53,33.0,89,36,43,19,8,90,65,3.1,13,4.3,187.0,9.0,8.3,102,Yes,12,79,54,22.0,16.7,6.1,1.6,0.1,0.4,6.3,83.2,1,76,85,11.0,14.0,45,21.0,75225,2.8,3.0,91,6,39,1,8,11,16,13,78.0,120,120,120,120,120
20,20,West Virginia,Kanawha,178124,25,38,7.5,26,72,15,22,273.9,34,8,136,92.0,199,38,47,22,11,89,61,4.6,21,5.0,616.0,18.1,8.3,156,Yes,11,83,22,20.0,21.2,7.5,1.1,0.0,0.2,1.2,87.7,0,69,78,22.0,24.0,51,44.0,48334,3.0,2.9,83,8,41,8,13,16,18,15,73.3,120,120,120,120,120
21,21,West Virginia,Lewis,15907,27,43,7.7,36,41,15,15,172.6,42,7,69,31.0,176,36,41,25,10,88,45,6.2,28,5.1,79.0,10.6,7.3,114,No,11,80,43,21.0,21.1,0.6,0.6,0.0,0.3,1.2,96.1,0,72,70,22.0,21.0,58,53.0,46895,2.6,2.4,98,7,43,2,15,13,19,17,72.4,120,120,120,120,120
22,22,West Virginia,Lincoln,20409,31,43,7.3,37,18,14,25,115.2,46,8,39,24.0,54,31,41,30,11,81,47,6.3,26,5.1,,3.4,8.6,153,Yes,11,85,64,22.2,20.0,0.4,0.2,0.0,0.1,0.7,97.5,0,78,73,16.0,19.0,60,74.0,43198,2.5,2.7,87,8,45,0,18,16,22,20,71.2,120,120,120,120,120
23,23,West Virginia,Logan,32019,29,43,7.1,39,29,14,24,60.7,50,8,46,12.0,84,32,33,30,11,80,44,6.0,27,6.3,558.0,6.4,8.5,157,Yes,12,85,32,20.5,21.1,1.8,0.3,0.0,0.1,1.0,95.9,0,73,80,14.0,22.0,56,39.0,38533,2.5,2.9,91,8,46,2,18,21,21,19,69.7,120,120,120,120,120
