,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
16,16,Indiana,Decatur,26559,23,34,7.9,31,66,18,8,299.2,34,8,56.0,30.0,34.0,40,36,18,7,91,66,2.9,14,3.8,,12.7,8.9,62,Yes,8,84,25,23.8,17.4,0.6,1.5,0.0,0.3,2.1,94.7,0,70,77,8.0,13.0,51,46.0,60891,3.6,3.5,98.0,8,37,5.0,13,12,15,13,76.8,99.5,99.5,99.5,99.5,99.5
17,17,Indiana,DeKalb,43475,23,31,7.8,21,59,17,15,322.2,29,8,46.0,44.0,64.0,42,51,18,7,90,57,2.8,15,3.5,117.0,13.6,9.2,66,No,8,86,23,24.0,16.6,0.5,0.5,0.1,0.3,2.8,94.9,0,76,78,9.0,14.0,45,35.0,59714,3.1,2.9,91.0,8,36,9.0,11,8,15,13,77.3,99.5,99.5,99.5,99.5,99.5
18,18,Indiana,Delaware,114135,25,34,7.1,28,77,16,9,698.9,17,9,110.0,60.0,289.0,41,56,21,9,90,64,3.9,23,5.1,271.0,14.3,7.7,93,No,16,79,22,18.2,17.5,7.0,1.3,0.1,0.3,2.6,86.6,0,63,78,13.0,16.0,55,44.0,45912,3.2,3.1,95.0,9,38,8.0,15,13,16,14,74.8,99.5,99.5,99.5,99.5,99.5
19,19,Indiana,Dubois,42736,21,32,8.6,23,78,18,28,235.0,22,8,85.0,66.0,122.0,43,50,17,8,89,62,2.4,7,3.9,395.0,13.9,8.7,66,No,8,89,17,24.4,17.9,0.7,0.7,0.3,0.3,8.7,89.2,1,78,81,11.0,19.0,34,55.0,63869,3.7,3.4,95.0,8,36,2.0,10,10,15,12,79.5,99.5,99.5,99.5,99.5,99.5
20,20,Indiana,Elkhart,206341,23,34,7.9,28,73,18,19,503.3,35,15,50.0,36.0,143.0,40,53,21,7,81,48,3.1,12,3.9,357.0,12.8,9.3,61,No,13,78,21,27.4,15.1,5.6,1.2,0.1,0.6,16.8,74.1,3,70,81,11.0,14.0,52,32.0,55782,3.1,2.9,89.0,15,38,7.0,12,12,16,14,78.7,99.5,99.5,99.5,99.5,99.5
21,21,Indiana,Fayette,23102,28,39,6.9,28,70,17,10,219.7,47,10,61.0,39.0,82.0,37,49,22,8,82,51,4.7,18,4.4,,14.8,8.8,141,No,13,87,37,21.6,20.5,1.4,0.4,0.0,0.4,1.5,95.2,0,70,71,9.0,18.0,60,47.0,48499,2.8,2.9,91.0,10,39,8.0,16,16,18,15,73.0,99.5,99.5,99.5,99.5,99.5
22,22,Indiana,Floyd,78522,22,32,7.9,27,82,19,29,428.2,21,8,66.0,70.0,144.0,48,53,17,9,91,68,3.2,15,4.5,132.0,10.7,7.8,81,No,10,86,33,22.6,16.5,5.4,1.3,0.1,0.4,3.5,87.5,0,73,78,13.0,15.0,41,40.0,64614,3.5,3.2,93.0,8,37,8.0,11,14,15,12,76.2,99.5,99.5,99.5,99.5,99.5
23,23,Indiana,Fountain,16346,25,34,7.7,32,52,18,13,345.3,36,9,18.0,37.0,73.0,42,43,19,7,89,56,3.5,17,4.1,,14.1,8.6,91,Yes,11,80,43,21.7,20.3,0.4,0.3,0.1,0.4,2.7,95.0,1,76,79,15.0,24.0,45,24.0,55337,3.3,3.3,91.0,9,37,6.0,13,18,16,13,75.7,99.5,99.5,99.5,99.5,99.5
24,24,Indiana,Franklin,22758,24,36,8.3,30,53,19,17,97.3,21,8,79.0,66.0,35.0,43,50,18,7,87,55,3.4,13,4.3,36.0,7.5,9.1,78,No,8,87,46,23.0,19.0,0.3,0.8,0.0,0.3,1.3,96.6,1,84,76,15.0,18.0,41,79.0,67315,3.2,3.1,98.0,8,37,5.0,11,13,15,13,78.9,99.5,99.5,99.5,99.5,99.5
25,25,Indiana,Fulton,19974,25,35,7.7,30,45,19,16,219.4,29,11,45.0,50.0,95.0,36,50,19,9,88,58,3.2,14,3.7,49.0,17.4,8.8,89,No,8,83,32,23.4,19.9,0.8,0.7,0.0,0.9,5.4,91.4,1,75,76,,14.0,50,48.0,55011,3.0,2.9,93.0,11,37,6.0,13,9,16,13,75.8,99.5,99.5,99.5,99.5,99.5
26,26,Indiana,Gibson,33659,23,34,8.5,25,70,18,15,342.5,31,7,33.0,53.0,24.0,49,57,18,8,92,61,2.5,12,3.8,115.0,14.9,9.3,95,No,9,88,30,23.7,17.8,2.6,0.6,0.0,0.4,1.8,92.9,0,75,79,17.0,23.0,40,39.0,61872,3.1,3.1,95.0,7,38,1.0,11,9,15,13,77.0,99.5,99.5,99.5,99.5,99.5
27,27,Indiana,Grant,65769,26,37,7.0,32,64,15,23,598.6,27,9,42.0,59.0,255.0,42,51,21,10,87,54,3.7,23,4.1,234.0,16.2,9.0,99,No,12,78,20,20.7,19.4,7.1,1.0,0.0,0.4,4.4,84.7,0,68,72,15.0,17.0,56,41.0,47509,2.9,3.0,96.0,9,38,8.0,16,16,17,14,74.5,99.5,99.5,99.5,99.5,99.5
28,28,Indiana,Greene,31922,25,40,7.5,39,52,17,29,292.1,32,9,31.0,44.0,66.0,38,47,20,8,88,54,4.1,20,4.3,39.0,14.1,7.8,78,No,12,86,46,21.6,19.8,0.3,0.4,0.0,0.4,1.6,96.4,0,80,72,13.0,15.0,48,43.0,51918,3.3,3.3,94.0,9,37,6.0,14,16,17,14,76.0,99.5,99.5,99.5,99.5,99.5
29,29,Indiana,Hamilton,338011,14,26,9.0,17,91,21,24,232.6,5,5,145.0,76.0,150.0,51,61,12,7,97,87,2.5,4,3.9,33.0,9.9,9.0,42,No,9,82,42,26.6,12.8,4.4,6.5,0.0,0.2,4.3,82.8,1,77,94,7.0,12.0,24,27.0,107710,3.8,3.6,74.0,5,33,4.0,8,8,12,9,82.0,99.5,99.5,99.5,99.5,99.5
30,30,Indiana,Hancock,78168,19,38,8.2,24,47,18,28,313.4,13,7,84.0,36.0,82.0,52,60,15,7,93,69,2.8,6,3.5,118.0,9.3,9.7,68,No,8,88,44,23.3,16.5,3.0,0.9,0.0,0.3,2.6,91.7,1,79,85,11.0,16.0,28,34.0,77905,3.6,3.4,95.0,7,34,7.0,10,12,14,11,79.1,99.5,99.5,99.5,99.5,99.5
31,31,Indiana,Harrison,40515,24,39,8.3,29,41,19,7,180.5,25,8,45.0,39.0,27.0,46,54,18,8,88,53,3.2,12,4.4,82.0,7.9,9.0,92,No,9,87,59,22.3,18.1,0.6,0.4,0.1,0.3,2.1,95.3,0,83,71,16.0,14.0,44,9.0,64270,3.4,3.3,95.0,8,40,2.0,12,13,16,13,77.5,99.5,99.5,99.5,99.5,99.5
32,32,Indiana,Hendricks,170311,17,32,8.7,21,70,16,14,268.8,10,7,47.0,48.0,99.0,50,57,14,6,94,75,2.7,5,3.3,176.0,8.7,9.8,56,Yes,9,85,42,24.7,14.2,7.6,3.1,0.1,0.3,4.3,82.9,1,78,89,10.0,15.0,28,31.0,85827,3.8,3.7,96.0,7,35,4.0,9,12,13,10,79.6,99.5,99.5,99.5,99.5,99.5
33,33,Indiana,Henry,47972,25,31,7.9,28,63,18,18,305.3,27,8,39.0,38.0,88.0,40,39,20,8,89,52,3.3,16,3.8,16.0,13.9,7.3,85,No,11,85,38,20.3,19.3,2.7,0.5,0.0,0.2,2.0,93.3,0,73,74,16.0,18.0,50,41.0,49293,3.4,3.3,95.0,8,38,1.0,14,12,16,14,75.8,99.5,99.5,99.5,99.5,99.5
34,34,Indiana,Howard,82544,25,35,7.2,34,69,17,35,522.1,34,8,59.0,82.0,200.0,45,49,20,8,90,62,4.0,18,4.6,431.0,15.9,9.4,107,Yes,12,84,20,22.7,19.9,7.7,1.3,0.0,0.4,3.5,84.6,0,70,79,13.0,16.0,48,37.0,54048,3.1,3.0,87.0,8,38,8.0,15,15,16,13,74.5,99.5,99.5,99.5,99.5,99.5
35,35,Indiana,Huntington,36520,24,39,7.8,27,76,18,22,250.4,26,9,55.0,38.0,82.0,44,55,18,9,92,58,3.3,13,3.8,33.0,17.7,9.0,77,No,9,88,31,21.6,17.5,0.7,0.6,0.0,0.6,2.8,94.3,0,75,79,12.0,16.0,46,21.0,54565,3.1,3.2,95.0,9,38,9.0,12,15,15,13,77.7,99.5,99.5,99.5,99.5,99.5
36,36,Indiana,Jackson,44231,26,36,7.7,30,70,17,8,467.1,44,10,57.0,59.0,84.0,40,54,21,7,87,54,2.6,12,4.1,223.0,13.4,8.7,96,No,12,82,27,24.4,16.6,1.1,2.6,0.2,0.6,7.8,87.0,2,72,74,15.0,19.0,52,41.0,59472,3.1,2.9,94.0,10,37,6.0,13,13,16,14,75.2,99.5,99.5,99.5,99.5,99.5
37,37,Indiana,Jasper,33562,23,36,8.4,27,58,19,11,284.0,18,10,24.0,33.0,45.0,34,47,18,7,88,51,3.7,11,3.6,,14.7,8.8,75,No,10,85,47,23.1,18.1,0.8,0.5,0.0,0.4,6.2,91.3,1,77,80,11.0,14.0,44,32.0,65352,3.5,3.6,96.0,10,36,2.0,11,10,15,13,77.6,99.5,99.5,99.5,99.5,99.5
38,38,Indiana,Jay,20436,28,34,7.2,27,39,17,9,296.0,35,11,39.0,24.0,93.0,40,50,22,8,88,48,3.0,19,3.6,100.0,14.0,9.0,111,No,13,76,23,25.2,18.5,0.5,0.4,0.0,0.2,3.2,94.6,1,73,68,,16.0,50,48.0,49447,3.4,3.3,87.0,11,37,9.0,14,19,18,15,75.1,99.5,99.5,99.5,99.5,99.5
39,39,Indiana,Jefferson,32308,24,33,7.5,25,66,19,11,389.5,29,9,56.0,59.0,105.0,42,54,19,8,90,52,3.4,17,4.2,,11.8,8.7,93,No,14,84,30,20.4,18.4,2.0,0.9,0.0,0.4,3.0,92.4,0,72,76,19.0,25.0,51,22.0,53378,3.2,3.1,87.0,9,39,7.0,13,12,16,13,75.5,99.5,99.5,99.5,99.5,99.5
40,40,Indiana,Jennings,27735,27,42,7.0,35,44,18,15,275.1,42,9,40.0,22.0,94.0,38,49,21,8,88,55,3.3,16,3.5,261.0,8.3,8.8,118,Yes,12,85,30,23.2,16.9,0.8,0.4,0.1,0.3,2.6,94.6,0,78,76,18.0,24.0,59,28.0,55022,3.2,3.1,94.0,9,39,12.0,14,17,17,14,74.0,99.5,99.5,99.5,99.5,99.5
41,41,Indiana,Johnson,158167,21,33,8.1,25,80,20,6,343.7,19,9,80.0,63.0,90.0,45,55,16,7,92,70,2.7,8,3.7,284.0,8.8,9.6,61,No,11,85,43,24.6,14.8,2.4,4.0,0.1,0.3,3.8,87.9,1,73,86,9.0,14.0,37,40.0,74427,3.5,3.4,94.0,9,36,8.0,10,10,14,11,78.2,99.5,99.5,99.5,99.5,99.5
42,42,Indiana,Knox,36594,26,35,7.2,33,67,18,23,375.9,28,9,81.0,44.0,169.0,41,52,21,8,89,60,3.1,17,4.3,109.0,17.3,9.1,95,No,11,86,22,21.4,18.4,2.9,1.0,0.1,0.3,2.3,92.3,0,65,79,16.0,15.0,53,43.0,48760,3.0,3.1,98.0,9,38,7.0,15,17,16,14,75.3,99.5,99.5,99.5,99.5,99.5
43,43,Indiana,Kosciusko,79456,22,35,8.2,29,65,18,22,344.7,27,11,38.0,31.0,174.0,44,51,19,7,86,57,2.8,11,3.6,159.0,16.4,9.3,67,Yes,10,80,20,23.7,17.3,1.0,1.7,0.1,0.4,8.2,87.6,2,75,80,9.0,12.0,48,33.0,64677,3.2,3.1,94.0,11,36,6.0,11,12,15,13,78.4,99.5,99.5,99.5,99.5,99.5
