,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
14,Pennsylvania,Centre,162385,19,24,8.7,18,86,21,26,466.6,3,7,74.0,55.0,205,54,57,16,6,94,74,3.3,9,5.1,89,12.5,8.6,46,Yes,18,68,23,14.8,14.9,3.6,6.4,0.1,0.2,3.0,85.4,1,62,82,6.0,12.0,27,43.0,61036,3.5,3.4,94.0,7,37,4,9,8,14,12,83.0
15,Pennsylvania,Chester,524989,15,22,9.0,14,85,22,30,254.4,7,6,86.0,68.0,242,44,61,13,7,94,78,3.2,6,4.4,135,9.7,10.4,62,Yes,14,79,43,22.5,16.8,5.7,6.1,0.1,0.3,7.6,78.8,2,75,89,7.0,13.0,25,36.0,102233,3.5,3.5,91.0,6,33,6,6,9,12,9,81.4
16,Pennsylvania,Clarion,38438,23,32,8.2,24,54,21,24,260.0,13,8,44.0,44.0,138,45,41,19,7,90,56,4.9,17,4.6,128,15.5,9.3,73,No,13,81,30,18.7,20.3,1.2,0.7,0.0,0.3,1.1,95.8,1,69,77,15.0,19.0,40,35.0,49173,3.4,3.3,91.0,8,39,2,12,10,17,14,78.4
17,Pennsylvania,Clearfield,79255,24,43,7.9,30,60,22,25,180.7,23,6,45.0,47.0,269,53,45,21,8,87,46,5.2,19,4.2,266,18.0,8.8,87,Yes,12,83,33,18.1,21.0,2.6,0.6,0.0,0.2,3.1,92.8,1,77,73,17.0,23.0,50,33.0,46967,3.1,3.1,90.0,6,43,5,13,15,17,14,77.3
18,Pennsylvania,Clinton,38632,23,39,7.8,18,72,19,20,241.0,14,7,41.0,47.0,116,48,53,20,6,89,51,5.4,20,4.5,155,13.4,8.3,75,Yes,12,78,33,19.9,19.2,1.6,0.7,0.1,0.2,1.6,94.9,0,70,77,16.0,18.0,51,31.0,50777,3.0,2.9,91.0,7,41,6,13,9,17,14,78.1
19,Pennsylvania,Columbia,64964,22,36,8.5,34,79,21,26,379.2,11,6,52.0,48.0,74,45,49,18,8,90,62,4.8,17,4.7,174,14.8,9.4,83,No,12,84,29,17.5,20.1,1.7,1.2,0.1,0.3,3.0,93.0,0,69,78,17.0,21.0,40,37.0,54377,3.4,3.2,91.0,6,40,3,11,14,16,13,78.5
20,Pennsylvania,Crawford,84629,23,39,8.1,22,73,22,40,248.4,19,8,67.0,48.0,138,48,48,20,8,89,52,4.7,19,4.1,97,15.2,8.9,93,Yes,12,78,28,20.4,21.2,1.9,0.6,0.0,0.2,1.4,94.6,0,73,78,13.0,20.0,48,47.0,49741,2.9,2.9,92.0,8,40,4,12,15,17,14,77.1
21,Pennsylvania,Cumberland,253370,18,27,8.8,20,83,20,25,302.7,10,6,90.0,72.0,207,49,56,15,7,92,69,3.4,10,4.0,86,13.9,9.9,63,Yes,11,82,26,20.2,18.8,4.2,4.8,0.1,0.2,4.3,84.6,1,70,85,9.0,14.0,31,31.0,75269,3.4,3.3,93.0,6,37,5,8,12,14,11,80.0
22,Pennsylvania,Dauphin,278299,20,33,8.1,23,83,19,24,601.4,25,7,108.0,79.0,239,45,53,18,9,90,64,4.0,18,4.2,403,18.5,9.6,85,Yes,14,79,25,22.5,17.4,17.4,5.3,0.1,0.4,9.9,64.5,2,63,82,12.0,14.0,60,49.0,60763,2.9,2.9,81.0,7,39,8,11,11,15,12,78.7
23,Pennsylvania,Delaware,566747,18,27,8.7,18,97,22,26,541.5,12,6,105.0,83.0,295,41,58,16,9,93,70,4.0,14,5.0,396,8.1,11.0,87,Yes,16,73,48,22.0,16.8,22.0,6.3,0.1,0.2,4.1,65.6,2,69,86,11.0,14.0,53,60.0,76783,3.0,3.1,83.0,6,38,2,9,10,14,11,78.6
24,Pennsylvania,Elk,29910,22,32,8.6,22,82,22,24,142.4,20,5,40.0,27.0,104,54,52,17,7,92,61,4.9,12,4.1,107,18.2,8.0,118,Yes,7,86,19,19.2,22.5,0.5,0.4,0.0,0.2,0.9,97.2,0,79,78,15.0,22.0,43,45.0,55462,3.4,3.3,93.0,5,39,3,10,14,16,12,78.4
25,Pennsylvania,Erie,269728,21,33,7.6,24,88,22,25,469.1,22,6,81.0,71.0,213,49,54,18,9,91,62,4.6,24,4.6,225,13.1,7.7,83,Yes,14,79,20,21.1,18.6,7.3,1.9,0.1,0.3,4.4,84.0,1,66,81,12.0,19.0,65,57.0,51923,3.1,3.0,87.0,6,39,9,12,10,16,13,77.7
26,Pennsylvania,Fayette,129274,24,37,7.3,28,58,21,26,333.1,30,6,36.0,60.0,362,42,44,21,9,88,52,5.9,27,5.1,205,14.0,9.0,114,Yes,13,85,36,19.1,21.7,4.7,0.4,0.2,0.2,1.3,91.6,0,74,75,16.0,18.0,73,42.0,48055,2.9,2.9,86.0,6,41,8,14,13,17,14,75.2
27,Pennsylvania,Forest,7247,26,29,7.9,21,91,21,33,123.3,23,7,,,41,45,49,23,11,83,18,6.8,30,4.0,468,8.2,7.9,79,No,9,80,39,10.7,22.8,20.6,0.2,0.0,0.6,6.8,71.6,1,84,65,,27.0,72,,41267,3.3,3.3,,7,43,1,15,10,16,15,78.8
28,Pennsylvania,Franklin,155027,21,33,8.5,25,69,20,15,300.2,21,9,60.0,47.0,115,46,49,18,7,88,53,3.8,13,3.6,146,15.5,8.9,68,Yes,11,82,32,22.1,20.1,3.5,1.1,0.1,0.3,6.1,87.5,1,71,80,11.0,14.0,45,41.0,62699,3.2,3.2,87.0,9,38,5,10,13,16,13,79.3
29,Pennsylvania,Fulton,14530,24,27,8.4,25,55,22,9,116.5,27,7,21.0,21.0,48,42,38,19,8,88,44,4.4,19,3.8,216,15.8,8.2,111,Yes,12,80,48,19.8,22.0,1.2,0.2,0.0,0.3,1.3,95.8,0,77,69,19.0,16.0,43,39.0,56357,3.4,3.3,91.0,7,40,4,10,15,17,13,79.0
30,Pennsylvania,Greene,36233,23,36,7.8,30,47,21,39,388.9,22,6,44.0,39.0,116,42,34,19,10,88,50,5.1,19,4.8,187,14.2,4.7,102,Yes,10,84,47,19.4,19.4,3.6,0.4,0.0,0.3,1.6,93.1,0,75,78,13.0,18.0,43,30.0,56599,3.2,3.0,89.0,6,41,6,13,19,16,13,75.6
31,Pennsylvania,Huntingdon,45144,23,32,8.4,26,68,21,31,191.2,18,7,35.0,31.0,106,47,44,19,7,89,48,5.9,18,4.2,182,17.7,9.0,77,Yes,11,78,44,17.6,21.4,5.8,0.8,0.0,0.2,2.1,90.2,1,76,76,11.0,19.0,53,57.0,54323,2.8,2.9,90.0,7,41,1,12,21,16,13,78.5
32,Pennsylvania,Indiana,84073,23,27,7.7,24,65,20,36,396.7,11,8,54.0,40.0,346,43,46,19,7,90,58,5.0,19,4.7,284,16.0,10.0,111,Yes,16,80,31,17.9,20.0,2.7,1.1,0.0,0.2,1.4,93.8,1,71,74,10.0,15.0,45,47.0,51299,3.3,3.2,91.0,8,39,9,12,10,17,14,78.2
33,Pennsylvania,Jefferson,43425,24,33,8.4,32,58,22,16,168.9,24,7,44.0,41.0,71,52,44,20,8,89,47,4.7,28,4.3,135,19.9,9.0,92,Yes,11,83,27,21.2,21.5,0.5,0.3,0.0,0.3,0.9,97.1,0,74,74,12.0,16.0,54,32.0,50789,3.4,3.3,94.0,7,41,2,12,16,17,14,77.6
34,Pennsylvania,Juniata,24763,24,30,8.1,19,61,20,43,106.1,14,9,20.0,12.0,16,54,55,20,6,83,43,4.4,15,3.9,85,22.3,9.2,80,Yes,11,79,45,22.4,20.6,0.6,0.4,0.0,0.4,4.3,93.7,2,75,74,15.0,19.0,42,24.0,57837,3.1,2.9,92.0,9,40,8,10,19,17,14,79.8
35,Pennsylvania,Lackawanna,209674,21,29,8.1,24,91,22,25,274.2,18,7,81.0,80.0,211,45,52,18,9,91,63,4.9,19,5.0,213,11.1,8.2,91,Yes,17,79,23,20.5,20.3,3.1,3.1,0.1,0.3,8.4,83.8,2,64,80,11.0,19.0,60,44.0,53655,2.9,3.1,87.0,7,39,4,12,11,16,13,76.9
36,Pennsylvania,Lancaster,545724,20,33,8.6,21,78,17,25,289.2,15,12,72.0,57.0,153,48,61,18,7,85,57,3.4,15,3.9,170,14.3,11.4,70,Yes,15,78,30,23.4,18.4,3.6,2.5,0.1,0.4,11.0,81.3,2,68,79,8.0,11.0,47,49.0,67515,3.1,3.2,89.0,12,37,5,9,11,15,12,80.5
37,Pennsylvania,Lawrence,85512,23,37,7.3,30,82,21,22,356.0,23,6,42.0,60.0,126,40,46,18,9,91,61,5.1,18,4.7,229,16.9,10.1,116,Yes,13,82,32,19.9,22.5,4.2,0.5,0.0,0.2,1.6,91.6,0,75,78,17.0,19.0,57,48.0,50979,2.9,3.1,95.0,6,40,12,12,15,16,13,76.3
38,Pennsylvania,Lebanon,141793,21,38,8.7,22,85,20,16,324.1,21,8,59.0,54.0,282,51,55,19,8,87,54,3.9,16,3.8,154,14.9,12.2,68,Yes,13,82,31,22.7,19.9,2.1,1.5,0.1,0.4,14.1,81.0,2,70,80,9.0,14.0,49,48.0,61560,3.0,3.1,85.0,8,38,3,9,13,16,13,78.9
39,Pennsylvania,Lehigh,369318,18,31,8.4,17,82,22,30,511.9,21,8,101.0,88.0,195,50,57,19,8,89,64,4.5,18,4.5,231,10.2,10.6,82,Yes,16,81,29,22.5,17.1,5.9,3.8,0.2,1.0,26.2,62.5,5,64,83,10.0,16.0,53,40.0,65436,3.0,3.0,87.0,8,38,4,10,10,14,12,79.6
40,Pennsylvania,Luzerne,317417,21,33,8.0,28,81,22,29,391.4,23,6,79.0,68.0,108,43,50,20,8,90,59,5.7,25,4.7,264,10.7,9.2,97,Yes,14,81,26,19.7,20.2,4.2,1.4,0.1,0.7,13.8,79.3,3,68,77,13.0,20.0,70,52.0,53439,2.8,2.9,85.0,6,43,5,12,12,16,13,76.3
41,Pennsylvania,Lycoming,113299,22,39,7.9,22,59,19,30,408.5,21,7,73.0,50.0,178,56,53,18,8,90,60,4.8,18,4.3,212,16.4,8.9,78,Yes,14,82,21,20.4,19.8,4.6,0.7,0.0,0.3,2.2,90.3,0,69,78,10.0,18.0,48,52.0,53762,3.4,3.3,88.0,7,37,7,12,11,16,13,78.1
42,Pennsylvania,McKean,40625,23,36,8.2,22,81,21,38,225.0,24,6,54.0,39.0,108,51,39,20,8,92,52,5.3,23,4.4,288,18.8,7.4,72,Yes,10,81,30,19.8,20.1,2.4,0.6,0.0,0.3,2.2,93.4,0,74,77,10.0,14.0,73,33.0,53266,2.9,3.0,88.0,6,40,1,13,11,17,14,76.8
43,Pennsylvania,Mercer,109424,23,37,7.9,25,85,21,26,317.7,19,7,61.0,58.0,172,42,46,18,8,90,56,4.9,19,4.3,216,16.2,9.1,99,Yes,11,81,25,19.2,22.2,5.7,0.7,0.0,0.2,1.6,90.0,0,73,78,14.0,16.0,54,63.0,54099,3.3,3.2,92.0,7,39,6,12,12,16,13,76.8
44,Pennsylvania,Mifflin,46138,25,35,8.3,23,61,21,26,364.3,24,9,54.0,37.0,91,51,57,21,7,85,43,4.7,20,3.8,131,17.1,8.9,81,No,13,80,28,22.2,22.1,0.8,0.7,0.0,0.2,1.7,95.7,1,71,71,16.0,22.0,58,36.0,50571,2.8,2.7,91.0,9,40,2,12,15,18,14,77.8
45,Pennsylvania,Monroe,170271,20,33,8.0,24,86,20,27,367.8,11,8,41.0,39.0,121,44,49,19,9,90,60,5.4,17,4.1,235,7.6,6.4,89,Yes,18,78,47,19.4,17.8,13.7,2.7,0.1,0.6,17.0,64.5,2,77,84,12.0,18.0,49,29.0,63012,3.1,3.1,88.0,8,41,9,10,11,15,12,78.9
46,Pennsylvania,Montgomery,830915,14,25,9.1,18,95,22,19,295.1,7,5,137.0,109.0,357,47,61,14,7,94,79,3.5,7,4.4,135,11.2,11.2,68,Yes,15,78,45,21.5,18.2,9.4,8.1,0.1,0.2,5.4,75.0,2,72,89,6.0,13.0,31,35.0,92340,3.4,3.4,87.0,5,40,4,7,8,13,10,80.9
47,Pennsylvania,Montour,18230,20,33,8.6,31,53,20,11,525.4,13,5,559.0,137.0,565,48,56,17,8,91,64,3.6,14,5.1,277,15.9,9.5,113,No,9,82,19,20.6,21.5,1.7,3.4,0.0,0.2,2.9,90.8,1,67,76,11.0,19.0,31,50.0,65534,3.5,3.5,98.0,5,37,3,10,9,15,12,78.6
48,Pennsylvania,Northampton,305285,19,31,8.7,27,87,22,28,411.0,12,6,82.0,59.0,240,49,56,17,8,91,67,4.5,10,4.2,212,10.6,11.0,81,Yes,14,83,37,19.7,19.5,5.6,3.1,0.1,0.4,14.2,75.4,2,71,83,9.0,17.0,45,39.0,73780,3.1,3.2,87.0,6,41,4,9,11,14,12,80.1
49,Pennsylvania,Northumberland,90843,23,39,8.1,28,74,20,24,246.7,27,7,43.0,40.0,36,53,53,20,7,88,48,5.6,20,4.5,251,16.6,9.9,92,Yes,13,83,30,19.6,21.8,2.6,0.5,0.0,0.3,3.9,91.7,1,71,73,9.0,16.0,54,39.0,47967,3.0,3.1,85.0,7,39,3,12,13,17,14,77.0
50,Pennsylvania,Perry,46272,23,30,8.7,23,50,21,33,227.6,23,9,26.0,19.0,35,47,53,18,7,87,48,3.7,13,3.7,188,16.3,9.6,92,Yes,9,79,59,21.3,19.0,1.0,0.5,0.1,0.3,2.3,95.0,0,79,78,16.0,22.0,39,21.0,65401,3.1,3.2,88.0,9,40,4,9,8,16,13,77.7
51,Pennsylvania,Philadelphia,1584064,22,29,7.6,23,100,21,19,1278.2,30,9,72.0,81.0,273,40,49,24,11,85,63,5.5,32,6.4,1001,7.6,10.5,110,No,23,50,54,21.6,14.0,40.5,7.8,0.2,0.9,15.2,34.3,6,53,77,21.0,10.0,96,58.0,47598,2.3,2.5,70.0,9,45,0,16,11,18,15,76.4
52,Pennsylvania,Pike,55809,19,29,8.6,28,77,20,35,168.8,10,7,29.0,14.0,91,41,50,17,8,93,67,5.6,15,4.2,147,7.7,8.0,93,Yes,17,83,62,17.4,23.5,5.5,1.6,0.0,0.5,11.6,79.6,1,83,86,14.0,19.0,47,52.0,66595,3.3,,92.0,7,40,2,10,10,14,11,80.0
