,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
40,40,Florida,Manatee,403253,19,26,7.9,25,91,23,24,412.4,26,17,55.0,54.0,107.0,45,49,18,7,90,58,3.1,19,4.3,519,7.5,7.9,103,Yes,16,78,38,18.0,28.1,8.5,2.3,0.1,0.5,16.9,70.6,3,73,83,15.0,19.0,52,40,64151,3.1,3.0,85,17,37,6,12,11,14,13,81.7,133.9,133.9,133.9,133.9,133.9
41,41,Florida,Marion,365579,21,33,7.1,33,76,17,30,439.7,32,18,58.0,45.0,99.0,48,46,23,9,88,50,3.8,25,4.0,377,7.1,8.4,149,Yes,14,81,34,18.5,29.2,12.5,1.7,0.1,0.5,14.1,69.6,1,75,81,19.0,22.0,63,35,49079,2.9,2.9,84,18,40,10,14,15,17,15,76.3,133.9,133.9,133.9,133.9,133.9
42,42,Florida,Martin,161000,19,20,7.9,23,97,25,30,223.2,17,16,64.0,77.0,198.0,45,51,16,7,91,62,3.1,14,4.9,240,9.3,6.9,91,Yes,17,79,36,16.2,31.5,5.2,1.5,0.2,1.0,14.2,77.7,3,78,86,13.0,19.0,43,44,70806,3.3,3.2,88,16,36,8,11,10,14,12,82.3,133.9,133.9,133.9,133.9,133.9
43,43,Florida,Miami-Dade,2716940,16,22,8.3,23,98,19,10,486.8,15,20,80.0,70.0,171.0,28,28,24,8,81,62,2.4,21,5.5,602,4.9,7.7,52,No,30,77,57,20.2,16.7,15.4,1.6,0.0,0.3,69.4,12.9,22,51,77,11.0,10.0,69,54,54991,3.4,3.3,86,20,39,2,12,8,14,14,82.4,133.9,133.9,133.9,133.9,133.9
44,44,Florida,Monroe,74228,17,21,7.9,23,100,25,20,267.5,16,20,75.0,63.0,240.0,37,41,17,7,91,62,2.1,15,4.6,431,12.7,7.1,113,No,25,69,20,15.2,23.7,6.3,1.5,0.1,0.5,25.3,65.1,5,59,84,19.0,30.0,57,41,67528,3.3,3.3,86,20,38,8,11,7,14,12,81.3,133.9,133.9,133.9,133.9,133.9
45,45,Florida,Nassau,88625,20,30,7.9,24,72,24,36,326.4,23,11,45.0,30.0,126.0,49,53,17,8,91,60,2.9,13,4.2,166,11.0,8.5,98,No,13,84,53,19.7,22.8,5.7,1.0,0.1,0.5,4.7,86.6,1,80,87,17.0,21.0,47,24,72818,3.6,3.6,93,11,37,7,12,11,15,13,77.6,133.9,133.9,133.9,133.9,133.9
46,46,Florida,Okaloosa,210738,20,27,7.5,29,75,21,25,542.4,27,13,76.0,82.0,164.0,42,38,18,8,92,69,2.7,16,4.0,395,8.7,8.4,85,No,15,82,33,22.2,16.3,9.8,3.2,0.2,0.7,9.7,73.0,2,63,84,16.0,20.0,44,27,63520,3.5,3.4,88,13,39,10,12,12,15,12,78.0,133.9,133.9,133.9,133.9,133.9
47,47,Florida,Okeechobee,42168,26,34,5.3,37,77,18,29,370.1,46,22,43.0,43.0,55.0,38,41,28,7,77,36,3.5,28,4.1,390,7.2,6.8,98,Yes,14,81,27,21.3,20.1,8.4,1.0,0.1,1.5,26.0,62.5,6,72,62,11.0,17.0,59,28,45225,3.3,3.1,77,22,41,29,15,14,18,18,76.3,133.9,133.9,133.9,133.9,133.9
48,48,Florida,Orange,1393452,16,27,7.8,24,94,18,24,732.8,18,15,89.0,51.0,239.0,33,43,20,9,89,69,2.9,18,4.5,648,7.0,7.0,61,Yes,21,79,45,22.0,12.3,20.3,5.7,0.2,0.6,32.7,39.4,7,55,87,11.0,10.0,52,35,63133,3.3,3.2,89,15,41,7,12,9,14,12,80.6,133.9,133.9,133.9,133.9,133.9
49,49,Florida,Osceola,375751,17,32,7.5,29,78,17,20,480.4,22,15,40.0,29.0,153.0,36,40,24,8,87,61,3.3,19,3.9,426,4.3,7.9,62,Yes,22,80,62,24.1,13.5,9.7,2.9,0.2,0.8,55.8,30.1,10,62,82,9.0,12.0,45,20,52270,3.0,3.1,89,15,37,10,12,12,15,14,79.7,133.9,133.9,133.9,133.9,133.9
50,50,Florida,Palm Beach,1496770,17,22,8.1,27,94,22,16,409.5,16,18,79.0,75.0,219.0,49,52,19,8,88,65,3.3,16,5.0,452,6.3,6.2,89,Yes,22,78,38,19.0,24.4,18.7,2.9,0.1,0.6,23.4,53.5,7,69,85,12.0,16.0,58,43,66621,3.4,3.2,88,18,38,5,12,11,14,13,82.6,133.9,133.9,133.9,133.9,133.9
51,51,Florida,Pasco,553947,21,31,7.5,30,86,22,20,309.9,20,15,57.0,35.0,83.0,42,46,20,8,89,62,3.5,16,4.5,304,5.4,8.4,105,Yes,15,80,52,20.2,22.6,5.8,2.8,0.1,0.5,16.5,72.7,2,72,83,14.0,21.0,54,33,55745,3.2,3.2,87,15,39,8,13,13,16,14,77.8,133.9,133.9,133.9,133.9,133.9
52,52,Florida,Pinellas,974996,20,27,7.9,23,97,24,21,454.5,19,15,88.0,72.0,209.0,41,48,18,8,91,67,3.0,15,4.7,465,7.3,7.0,103,No,18,78,34,15.9,25.4,10.5,3.6,0.1,0.4,10.2,73.6,2,67,83,14.0,21.0,50,41,56708,3.3,3.1,86,15,38,4,13,10,15,12,79.2,133.9,133.9,133.9,133.9,133.9
53,53,Florida,Polk,724777,21,37,7.0,29,79,18,25,518.0,28,15,48.0,34.0,93.0,45,46,22,9,85,53,3.7,21,4.1,341,7.5,6.1,78,Yes,17,83,40,22.0,20.4,14.7,1.9,0.1,0.7,24.6,56.9,4,69,70,12.0,15.0,52,32,51817,3.2,3.1,80,15,40,13,14,13,16,14,78.6,133.9,133.9,133.9,133.9,133.9
54,54,Florida,Putnam,74521,27,39,6.2,38,51,19,43,522.7,42,18,42.0,25.0,63.0,46,41,26,11,82,40,4.3,35,4.6,537,10.9,7.7,132,Yes,19,81,46,21.2,23.7,15.9,0.7,0.1,0.7,10.2,71.2,3,71,72,24.0,22.0,71,37,41986,3.0,2.9,85,18,41,13,17,18,19,18,73.9,133.9,133.9,133.9,133.9,133.9
55,55,Florida,St. Johns,264672,16,23,8.4,22,94,21,21,297.0,9,11,100.0,52.0,119.0,52,52,14,7,95,77,2.6,7,4.5,225,6.4,8.2,68,No,13,80,44,21.6,20.6,5.2,3.3,0.1,0.3,7.5,81.9,1,80,87,14.0,20.0,19,31,90839,3.7,3.7,93,11,34,7,10,8,13,10,81.9,133.9,133.9,133.9,133.9,133.9
