,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
12,Alaska,Kenai Peninsula,58708,21,33,7.6,21,100.0,20,25.0,233.7,19.0,15,75.0,70.0,247.0,,,16,5.0,93,60,6.8,13,4.8,,15.2,,92.0,Yes,19,70,15,22.5,18.4,0.7,1.9,0.3,8.0,4.3,80.0,1,73,79,21.0,26.0,38,22.0,68625,,,85.0,15,34,6,14,10,14,13,79.0
13,Alaska,Ketchikan Gateway,13901,20,39,8.1,20,100.0,19,67.0,534.1,21.0,16,108.0,72.0,381.0,39.0,44.0,16,7.0,93,62,6.2,12,4.5,358.0,13.7,,87.0,Yes,18,65,7,21.7,16.5,0.9,8.2,0.4,13.9,5.6,63.9,1,62,85,19.0,25.0,41,27.0,75706,,,83.0,16,32,2,13,11,13,12,80.1
14,Alaska,Kodiak Island,12998,19,28,8.0,25,100.0,19,,416.4,18.0,20,112.0,69.0,385.0,31.0,41.0,15,5.0,90,65,5.6,9,3.3,,14.2,,67.0,Yes,24,64,3,24.9,11.4,1.1,21.9,1.0,13.1,8.6,49.1,7,55,84,21.0,27.0,52,19.0,79669,,,88.0,20,34,5,12,7,12,11,81.1
15,Alaska,Kusilvak,8314,45,23,1.6,27,,15,100.0,,84.0,18,,,120.0,4.0,11.0,42,6.0,79,21,19.3,36,4.3,,3.6,,271.0,Yes,69,6,0,41.4,6.1,0.4,0.4,0.0,92.4,3.0,3.4,1,72,65,66.0,122.0,100,,35369,,,65.0,18,42,42,28,5,25,29,67.2
16,Alaska,Lake and Peninsula,1592,29,38,3.5,27,100.0,18,,617.3,,21,0.0,0.0,126.0,,,25,6.0,88,50,9.9,25,4.5,,0.0,,240.0,Yes,29,22,0,28.6,11.5,1.3,3.1,0.3,61.7,3.5,22.3,0,71,65,,,83,,51693,,,,21,38,44,17,12,17,18,
17,Alaska,Matanuska-Susitna,108317,20,35,7.7,20,100.0,19,37.0,364.2,17.0,15,49.0,50.0,197.0,35.0,33.0,16,6.0,93,58,6.9,13,4.5,,7.8,5.7,88.0,Yes,20,74,42,26.4,12.7,1.2,1.7,0.4,6.9,5.2,78.6,1,77,87,22.0,22.0,42,13.0,75856,,,83.0,15,33,8,13,9,13,12,79.6
18,Alaska,Nome,10004,34,40,3.7,20,100.0,18,88.0,3003.7,57.0,18,100.0,100.0,910.0,32.0,4.0,28,6.0,85,41,10.9,26,4.6,,3.0,,177.0,Yes,52,25,0,34.6,8.0,0.8,1.5,0.2,75.3,2.9,14.9,2,60,74,32.0,60.0,74,54.0,58464,,,77.0,18,38,38,19,7,19,20,70.5
19,Alaska,North Slope,9832,25,44,7.1,33,100.0,21,33.0,960.9,56.0,15,20.0,81.0,102.0,,,20,6.0,90,51,6.4,15,4.6,809.0,4.1,,113.0,No,44,19,3,26.8,7.5,1.5,5.5,1.8,53.2,4.3,30.9,1,53,70,33.0,31.0,41,19.0,84784,,,68.0,15,34,13,13,6,14,14,76.9
20,Alaska,Northwest Arctic,7621,34,45,3.6,24,100.0,17,0.0,3045.3,71.0,18,78.0,26.0,1023.0,,,30,7.0,83,30,14.0,30,5.6,,6.5,,232.0,Yes,51,19,0,36.2,7.3,1.3,1.0,0.2,79.6,3.7,10.7,1,56,77,57.0,86.0,96,50.0,61660,,,78.0,18,40,34,21,15,19,21,71.1
21,Alaska,Petersburg,3266,20,26,8.0,23,,22,,,,16,186.0,92.0,429.0,,,15,,90,61,8.7,9,4.2,411.0,9.3,,62.0,No,16,50,3,20.2,20.5,1.6,3.7,0.9,11.3,5.8,70.9,1,69,82,,,51,,71296,,,,16,33,1,14,9,13,12,81.4
22,Alaska,Prince of Wales-Hyder,6203,27,40,6.0,19,,20,50.0,,17.0,20,93.0,48.0,161.0,,,21,5.0,91,51,10.1,23,4.5,,12.5,,132.0,No,18,49,13,22.3,18.1,0.6,1.2,0.4,42.6,3.9,44.9,0,73,66,,,58,36.0,50049,,,,20,36,15,18,12,16,16,74.9
23,Alaska,Sitka,8493,18,26,8.3,18,100.0,19,,218.7,11.0,15,197.0,141.0,2096.0,33.0,39.0,14,5.0,95,69,4.2,9,3.7,101.0,17.3,,80.0,No,16,62,1,20.6,16.1,0.9,7.6,0.4,15.7,7.4,61.7,1,59,84,,,48,20.0,80660,,,87.0,15,31,4,11,7,12,11,81.3
24,Alaska,Skagway,1183,17,26,8.2,18,,22,,,,14,0.0,0.0,85.0,39.0,33.0,12,,95,61,9.2,7,2.6,372.0,0.0,,,No,11,35,1,15.4,15.8,0.8,2.4,0.3,5.5,6.7,80.8,0,53,84,,,2,,74898,,,,14,31,0,13,5,12,10,
25,Alaska,Southeast Fairbanks,6893,22,33,6.2,19,100.0,20,33.0,217.8,32.0,20,87.0,58.0,160.0,26.0,25.0,16,4.0,90,50,9.0,16,4.6,,4.3,,96.0,No,22,68,11,24.9,15.6,1.8,2.5,0.6,12.0,7.0,72.4,4,74,72,,,58,46.0,69646,,,,20,32,19,15,10,14,12,78.5
26,Alaska,Valdez-Cordova,9202,19,34,7.1,22,100.0,20,40.0,495.8,15.0,13,120.0,43.0,196.0,,,14,5.0,95,56,7.5,10,3.9,316.0,16.4,,121.0,Yes,15,61,5,23.3,14.4,0.8,5.1,0.6,14.3,5.6,68.8,0,75,80,,30.0,43,33.0,74574,,,,13,31,15,12,7,12,11,78.8
27,Alaska,Wrangell,2502,23,36,7.6,28,,19,,,,18,120.0,40.0,360.0,,,18,,87,53,7.7,11,4.4,0.0,0.0,,138.0,Yes,13,65,0,19.7,24.5,0.6,3.2,0.0,16.7,3.0,66.6,0,68,74,,,3,,62496,,,,18,34,7,13,19,14,13,78.5
28,Alaska,Yakutat,579,24,38,6.2,32,100.0,19,,,,18,0.0,0.0,173.0,,,19,,91,69,7.7,27,3.2,,0.0,,,No,14,47,0,17.6,21.1,2.1,6.0,1.2,41.1,4.7,31.4,1,66,72,,,7,,61587,,,,18,36,25,12,10,15,14,
29,Alaska,Yukon-Koyukuk,5230,33,31,2.1,25,100.0,19,29.0,1230.2,35.0,22,19.0,38.0,115.0,33.0,27.0,28,5.0,86,48,14.0,31,6.0,,0.0,,248.0,Yes,52,23,9,27.9,15.7,0.8,0.6,0.2,68.7,3.1,22.2,0,72,43,,,44,26.0,42063,,,67.0,22,39,50,22,10,18,20,72.0
