,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
175,175,Texas,Navarro,50113,21,35,6.6,23,53,19,23.0,400.4,51.0,22,40.0,40.0,64.0,33.0,46.0,24,9.0,78,53,3.2,21,4.9,354.0,8.9,8.4,84.0,Yes,16,83,33,26.4,17.3,12.6,0.8,1.7,1.1,28.5,54.7,6,69,76,16.0,23.0,72.0,16.0,48649,2.9,2.7,94.0,22,38,11.0,17,18,16,15,75.6,141,141,141,141,141
176,176,Texas,Newton,13595,24,35,5.8,22,11,18,27.0,207.9,38.0,20,,,15.0,36.0,37.0,24,10.0,83,48,6.3,28,5.8,64.0,8.0,8.7,95.0,No,6,85,57,19.6,21.2,19.6,0.6,0.0,1.0,3.9,73.3,0,85,70,27.0,29.0,68.0,36.0,45890,2.7,2.6,96.0,20,40,12.0,20,8,17,16,76.9,141,141,141,141,141
177,177,Texas,Nolan,14714,20,27,7.0,25,76,19,21.0,880.2,62.0,18,34.0,48.0,61.0,28.0,37.0,24,8.0,82,46,2.9,24,4.6,394.0,13.6,6.3,85.0,No,13,80,20,26.0,18.6,4.3,0.8,0.1,1.3,39.1,54.1,3,67,73,16.0,17.0,62.0,37.0,46389,3.4,3.0,87.0,18,37,8.0,16,16,15,14,74.8,141,141,141,141,141
178,178,Texas,Nueces,362294,16,33,7.0,25,95,20,22.0,756.9,37.0,20,79.0,53.0,121.0,40.0,42.0,24,9.0,83,57,4.1,23,4.9,685.0,7.7,9.2,68.0,No,18,83,18,24.3,14.9,3.5,2.2,0.1,0.9,64.5,28.7,2,58,81,15.0,14.0,64.0,28.0,56079,3.1,2.9,91.0,20,35,10.0,15,13,13,13,78.4,141,141,141,141,141
179,179,Texas,Ochiltree,9836,18,27,8.3,33,88,19,11.0,208.5,48.0,27,40.0,41.0,31.0,29.0,27.0,24,6.0,74,42,2.7,16,3.7,270.0,15.1,5.8,65.0,Yes,15,79,12,31.0,11.7,0.6,0.7,0.1,1.8,55.4,41.8,12,73,76,,,58.0,21.0,62567,2.9,2.8,98.0,27,36,2.0,12,12,14,14,78.6,141,141,141,141,141
180,180,Texas,Oldham,2112,19,25,5.1,22,24,20,5.0,,22.0,15,,0.0,47.0,29.0,43.0,19,7.0,90,53,2.8,30,4.3,143.0,14.1,5.4,,No,10,70,41,23.4,15.0,3.3,1.4,0.0,1.3,17.1,75.9,2,78,79,,,47.0,,59404,3.4,3.0,,15,35,35.0,14,12,15,13,78.3,141,141,141,141,141
181,181,Texas,Orange,83396,21,46,6.7,38,64,21,19.0,282.2,44.0,16,19.0,32.0,23.0,36.0,47.0,20,10.0,88,58,5.2,19,4.8,324.0,9.2,8.9,86.0,Yes,13,86,37,24.8,16.5,8.6,1.2,0.1,0.8,8.5,79.8,1,75,81,15.0,18.0,51.0,64.0,62976,2.9,2.8,93.0,16,39,9.0,17,16,15,13,74.3,141,141,141,141,141
182,182,Texas,Palo Pinto,29189,21,41,6.3,29,47,19,21.0,402.5,44.0,23,38.0,31.0,21.0,34.0,46.0,22,8.0,84,46,3.1,26,4.6,192.0,12.5,7.5,85.0,Yes,20,78,37,23.0,20.2,2.3,1.0,0.1,1.1,20.2,74.6,4,73,76,11.0,17.0,70.0,36.0,50159,2.7,2.5,94.0,23,37,13.0,17,15,16,14,76.6,141,141,141,141,141
183,183,Texas,Panola,23194,21,34,6.9,25,39,19,29.0,348.5,40.0,19,35.0,26.0,13.0,33.0,40.0,22,9.0,83,58,4.0,22,4.7,283.0,10.4,9.1,94.0,No,11,87,37,23.3,19.8,15.5,0.9,0.1,0.8,9.1,72.8,2,77,73,23.0,17.0,53.0,29.0,56882,3.0,2.9,97.0,19,38,7.0,17,13,16,14,75.7,141,141,141,141,141
184,184,Texas,Parker,142878,17,32,7.9,25,53,20,18.0,221.0,22.0,18,42.0,36.0,55.0,41.0,50.0,17,7.0,89,60,2.9,10,4.2,131.0,9.7,8.3,72.0,Yes,13,84,51,24.7,15.6,1.5,0.7,0.1,0.9,13.0,82.6,2,79,85,14.0,19.0,35.0,23.0,82501,3.1,3.0,96.0,18,35,5.0,12,9,13,11,78.6,141,141,141,141,141
