,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
14,Minnesota,Clay,64222,17,29,9.1,19,87,22,29.0,350.8,9.0,4,22.0,53.0,237.0,53,53,13,7,95,79,3.0,12,4.5,135,11.6,6.0,57,No,14,80,18,24.8,13.4,4.3,1.4,0.1,1.8,4.7,86.0,0,67,81,6.0,13.0,34,35.0,64874,3.3,3.0,83.0,4,30,2,8,8,12,10,80.2
15,Minnesota,Clearwater,8818,24,31,6.7,28,64,22,50.0,236.5,26.0,8,45.0,34.0,23.0,45,28,18,4,86,56,8.2,15,4.7,220,20.4,5.6,88,No,16,78,36,24.7,20.5,0.7,0.3,0.0,9.5,2.4,84.1,0,81,77,,,49,29.0,54896,3.1,2.9,92.0,8,32,15,14,11,14,13,77.2
16,Minnesota,Cook,5463,17,25,8.0,20,99,24,,185.3,,8,148.0,55.0,92.0,36,32,13,9,97,76,4.3,12,3.6,67,20.4,3.7,56,No,18,68,20,15.1,29.3,1.2,1.0,0.0,8.6,2.4,84.6,1,77,81,,,39,31.0,58664,3.2,3.2,,8,29,10,10,11,11,10,82.7
17,Minnesota,Cottonwood,11196,20,38,7.7,27,78,23,36.0,212.5,20.0,7,71.0,63.0,125.0,47,39,15,7,89,59,3.7,15,3.5,117,19.5,8.5,79,No,12,80,20,24.6,23.1,1.2,4.1,0.4,0.9,8.4,84.7,2,78,76,,18.0,48,30.0,53725,3.5,3.3,,7,32,14,10,13,12,11,80.1
18,Minnesota,Crow Wing,65055,22,29,8.8,22,70,23,11.0,246.8,20.0,6,108.0,81.0,307.0,52,49,13,6,94,71,4.3,14,4.2,200,14.2,5.9,85,No,12,82,23,21.3,23.0,0.8,0.5,0.0,1.0,1.5,94.7,0,77,83,13.0,21.0,38,35.0,60384,3.4,3.3,86.0,6,30,2,9,9,12,11,79.9
19,Minnesota,Dakota,429021,15,31,9.2,18,97,20,25.0,350.2,9.0,4,65.0,73.0,183.0,44,53,11,7,95,79,2.9,8,3.8,141,8.7,7.0,58,No,11,81,35,24.3,14.7,7.2,5.2,0.1,0.6,7.6,77.1,2,74,89,7.0,13.0,27,32.0,89075,3.4,3.3,87.0,4,29,5,6,8,10,9,82.3
20,Minnesota,Dodge,20934,18,41,9.6,22,65,26,38.0,245.6,10.0,4,48.0,19.0,29.0,47,55,12,5,95,70,3.4,6,3.3,100,14.9,7.0,74,No,8,80,35,25.6,15.2,0.6,0.8,0.0,0.4,4.9,91.9,1,84,87,11.0,17.0,24,32.0,86436,3.3,3.2,96.0,4,29,1,6,10,11,10,80.0
21,Minnesota,Douglas,38141,19,34,8.7,24,80,25,25.0,207.6,15.0,4,111.0,73.0,220.0,56,50,13,6,95,77,3.2,8,3.9,122,21.6,5.7,75,No,12,83,15,21.5,23.4,0.6,0.5,0.0,0.4,1.7,95.8,0,74,79,11.0,15.0,30,48.0,67592,3.6,3.3,84.0,4,29,7,8,10,12,10,80.3
22,Minnesota,Faribault,13653,21,36,8.6,29,70,21,14.0,253.9,14.0,6,58.0,51.0,44.0,40,52,16,6,93,67,4.2,17,4.3,68,26.9,7.5,75,No,10,81,28,22.0,23.2,0.7,0.4,0.1,0.8,7.3,90.0,0,77,76,,19.0,44,23.0,54193,3.4,3.2,87.0,6,30,5,9,11,13,11,78.3
23,Minnesota,Fillmore,21067,20,29,9.2,24,80,23,40.0,176.4,9.0,7,33.0,52.0,19.0,48,54,14,5,91,66,3.3,13,3.9,46,30.9,7.2,76,No,12,73,43,24.7,21.2,0.5,0.7,0.0,0.2,1.8,96.0,1,81,77,10.0,17.0,28,35.0,62716,3.5,3.4,,7,30,1,8,5,13,11,80.8
24,Minnesota,Freeborn,30281,20,37,8.0,23,69,21,17.0,373.3,24.0,7,56.0,43.0,116.0,44,47,16,6,89,61,3.4,13,3.9,93,18.7,7.3,82,Yes,11,83,19,21.8,22.5,1.3,3.0,0.2,0.6,10.2,83.8,2,77,77,10.0,15.0,49,38.0,56716,3.1,3.0,80.0,7,33,12,9,10,13,12,80.3
25,Minnesota,Goodhue,46340,18,34,8.9,21,91,22,31.0,257.0,13.0,5,75.0,45.0,101.0,48,53,13,6,94,69,3.0,9,4.1,130,20.0,7.0,87,Yes,12,82,36,22.1,20.1,1.4,0.8,0.1,1.5,3.4,91.7,1,75,83,10.0,16.0,28,33.0,71497,3.2,3.2,89.0,5,31,4,8,8,12,11,79.8
26,Minnesota,Grant,5972,20,33,7.7,32,60,23,25.0,151.5,13.0,6,33.0,17.0,17.0,54,53,14,8,93,70,4.5,14,3.8,17,26.6,5.7,47,Yes,10,79,32,22.6,24.0,0.6,0.4,0.1,0.6,2.3,94.8,0,77,77,,,34,40.0,55247,3.4,3.3,,6,31,15,9,11,12,11,80.9
27,Minnesota,Hennepin,1265843,13,23,8.8,16,100,24,31.0,628.3,13.0,6,119.0,100.0,419.0,39,53,11,7,93,81,2.8,12,4.8,449,11.1,7.8,69,Yes,16,73,30,21.8,14.5,13.5,7.5,0.1,1.1,7.0,68.4,3,62,87,7.0,12.0,40,43.0,82323,3.2,3.1,79.0,6,28,5,8,7,10,9,81.3
28,Minnesota,Houston,18600,18,32,9.1,24,97,25,0.0,155.4,8.0,5,59.0,48.0,27.0,54,56,12,5,95,75,3.2,9,3.8,53,15.1,7.2,74,No,10,82,31,21.9,22.0,0.7,0.7,0.0,0.3,1.2,95.7,0,80,83,,13.0,27,42.0,64920,3.4,3.3,73.0,5,30,3,7,8,12,10,82.0
29,Minnesota,Hubbard,21491,20,32,8.3,26,58,22,47.0,271.2,23.0,7,61.0,23.0,121.0,48,33,14,6,93,65,5.4,15,4.1,130,11.7,5.5,77,No,13,78,24,21.2,25.2,0.4,0.6,0.1,2.9,2.4,92.3,1,81,80,10.0,17.0,51,44.0,56064,3.7,3.4,76.0,7,28,7,10,11,12,11,80.6
30,Minnesota,Isanti,40596,19,35,9.1,24,40,23,26.0,219.8,12.0,5,73.0,44.0,170.0,42,49,13,6,93,64,4.1,9,3.5,108,10.5,6.7,75,No,13,84,57,23.5,16.6,0.9,1.2,0.1,0.6,2.2,93.3,0,83,83,9.0,20.0,32,37.0,77963,3.4,3.1,87.0,5,31,3,8,10,12,10,79.6
31,Minnesota,Itasca,45130,21,36,8.2,23,64,21,42.0,376.6,20.0,5,91.0,71.0,268.0,46,44,14,7,94,73,6.0,15,4.5,164,13.1,5.2,104,No,12,80,26,20.7,24.1,0.5,0.4,0.2,3.9,1.6,91.5,0,81,79,12.0,23.0,47,40.0,58660,3.2,3.1,90.0,5,30,6,11,13,13,11,79.4
32,Minnesota,Jackson,9846,20,35,9.1,26,47,24,44.0,221.2,15.0,4,,41.0,102.0,53,35,14,7,93,71,3.4,14,3.6,25,23.2,7.5,62,No,8,78,19,21.4,23.1,0.8,1.7,0.1,0.5,4.2,91.7,1,81,80,,,39,33.0,57915,3.3,3.2,94.0,4,30,4,7,13,12,10,82.0
33,Minnesota,Kanabec,16337,22,32,8.5,29,39,22,23.0,274.6,18.0,6,93.0,55.0,129.0,38,45,16,6,90,61,5.9,15,3.7,142,13.0,6.1,98,No,14,78,41,21.4,20.9,0.6,0.7,0.0,0.9,1.7,94.4,0,85,76,,26.0,40,14.0,63595,3.4,3.4,88.0,6,33,3,11,13,13,12,80.2
34,Minnesota,Kandiyohi,43199,19,29,8.5,21,67,22,24.0,332.2,24.0,8,96.0,76.0,400.0,49,54,15,6,89,68,3.5,14,4.3,175,19.6,6.1,65,Yes,13,82,16,24.7,19.1,6.4,1.2,0.1,0.5,12.6,78.5,3,74,81,6.0,13.0,53,48.0,64129,3.1,2.9,75.0,8,30,8,8,10,12,11,81.3
35,Minnesota,Kittson,4298,20,34,7.5,21,40,23,100.0,164.7,,5,,47.0,,41,28,14,5,95,69,3.6,12,3.6,22,35.3,5.8,79,No,7,74,29,22.0,24.9,0.7,0.7,0.0,0.4,2.5,94.8,0,81,66,,,40,,62762,3.3,3.3,,5,30,20,8,13,12,11,77.0
36,Minnesota,Koochiching,12229,21,33,6.7,28,72,24,13.0,199.6,14.0,7,32.0,41.0,139.0,46,29,16,7,92,67,6.4,19,4.2,127,15.3,4.8,88,No,12,73,13,17.7,26.7,0.7,0.6,0.0,2.5,1.3,93.2,0,79,77,,18.0,40,27.0,52545,3.6,3.3,92.0,7,32,17,13,11,13,12,79.8
