,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
30,30,Iowa,Dickinson,17258,17,26,8.8,22,91,25,18,127.9,13,5,76,75.0,70.0,55,62,12,6,96,80,2.9,8,3.7,131.0,19.8,7.0,55,No,11,81,16,19.0,26.7,0.6,0.8,0.0,0.2,2.2,95.2,1,79,83,,13.0,35,54.0,66211,3.1,3.3,93.0,5,31,4,9,12,11,9,80.5,136,136,136,136,136
31,31,Iowa,Dubuque,97311,17,37,8.6,24,85,28,16,441.1,16,4,81,78.0,161.0,56,58,13,6,93,74,2.6,11,4.1,210.0,11.5,8.5,63,No,11,83,11,22.7,18.3,3.5,1.3,0.6,0.3,2.6,90.3,1,73,83,6.0,13.0,40,45.0,62481,3.1,3.1,92.0,4,31,5,9,8,11,10,80.4,136,136,136,136,136
32,32,Iowa,Emmet,9208,19,36,8.2,29,82,23,50,392.3,24,7,76,54.0,250.0,53,55,15,7,91,70,2.6,15,4.1,393.0,20.5,7.1,70,No,13,78,22,20.3,21.6,1.2,0.7,0.1,1.6,10.1,86.5,2,78,78,,,51,32.0,55635,2.7,2.5,93.0,7,34,9,9,9,12,11,77.6,136,136,136,136,136
33,33,Iowa,Fayette,19650,20,39,8.7,28,78,25,33,197.0,21,6,36,51.0,46.0,51,38,15,6,92,65,3.6,17,3.9,279.0,18.3,8.0,97,No,10,78,22,21.0,21.5,1.5,1.2,0.0,0.3,2.7,93.1,1,77,76,,18.0,50,35.0,53142,3.3,3.1,89.0,6,33,2,10,13,12,11,78.9,136,136,136,136,136
34,34,Iowa,Floyd,15642,20,43,8.1,28,77,24,22,273.1,16,7,38,51.0,19.0,57,51,16,5,90,62,3.6,15,4.4,175.0,14.6,7.6,81,Yes,10,74,24,22.8,22.2,2.8,1.6,0.1,0.3,3.8,90.6,1,71,77,,16.0,50,46.0,55369,2.7,2.9,97.0,7,32,5,11,10,13,11,80.1,136,136,136,136,136
35,35,Iowa,Franklin,10070,20,48,8.7,28,73,25,14,255.8,27,7,30,40.0,10.0,51,46,16,6,91,57,2.3,17,3.6,,23.7,7.7,77,No,12,80,19,23.3,21.4,0.7,0.6,0.1,0.7,13.4,84.0,2,75,72,,20.0,53,48.0,55847,3.1,2.9,92.0,7,34,5,8,16,12,11,79.4,136,136,136,136,136
36,36,Iowa,Fremont,6960,21,36,7.2,24,45,27,36,201.5,32,5,14,14.0,29.0,39,33,14,6,92,73,2.8,15,3.9,397.0,5.7,7.6,95,No,9,81,30,22.1,23.4,0.8,0.4,0.0,0.3,3.0,94.4,0,76,77,,,48,4.0,60498,2.8,2.9,,5,32,22,8,10,12,10,77.0,136,136,136,136,136
37,37,Iowa,Greene,8888,19,40,8.6,30,69,24,44,245.0,22,5,45,34.0,68.0,50,65,14,8,93,65,2.4,14,3.8,77.0,25.6,7.5,89,No,9,81,27,22.9,22.5,0.5,0.6,0.0,0.6,3.2,94.1,1,73,78,,,45,19.0,55562,3.1,3.0,82.0,5,33,4,9,16,12,10,79.5,136,136,136,136,136
38,38,Iowa,Grundy,12232,17,34,9.3,24,72,26,14,210.8,10,4,24,25.0,41.0,54,39,12,6,95,75,2.8,7,3.5,97.0,21.9,7.9,60,No,7,84,30,22.7,21.2,0.5,0.4,0.1,0.2,1.4,96.7,0,82,81,,16.0,30,,73683,3.3,3.3,,4,30,2,7,9,11,9,79.1,136,136,136,136,136
39,39,Iowa,Guthrie,10689,20,38,8.7,31,74,26,25,271.8,15,6,37,37.0,19.0,51,55,14,7,93,72,3.0,12,3.9,33.0,20.5,7.4,69,No,11,82,43,21.9,22.8,0.6,0.3,0.1,0.4,2.8,94.6,1,80,76,,,40,18.0,64965,3.3,3.1,,6,33,4,9,9,12,10,80.8,136,136,136,136,136
40,40,Iowa,Hamilton,14773,17,36,8.6,26,85,26,11,271.3,23,5,33,41.0,34.0,55,51,13,7,93,69,2.9,12,3.8,211.0,14.7,7.7,72,No,9,83,26,22.8,21.0,1.1,2.4,0.0,0.5,6.2,88.6,1,72,76,,15.0,46,40.0,63234,3.3,3.2,94.0,5,31,6,9,9,11,10,79.0,136,136,136,136,136
41,41,Iowa,Hancock,10630,18,34,8.9,20,76,24,50,260.0,15,5,19,56.0,19.0,56,59,13,6,93,68,2.4,11,3.9,117.0,26.1,7.5,67,No,8,79,24,22.0,22.8,0.8,0.5,0.1,0.3,4.9,92.5,1,77,77,,,37,20.0,62030,3.1,3.0,97.0,5,32,5,8,6,11,10,82.0,136,136,136,136,136
42,42,Iowa,Hardin,16846,19,41,8.9,24,85,24,19,340.2,17,6,41,77.0,53.0,58,62,14,6,92,67,3.2,15,4.2,106.0,24.3,7.9,62,No,8,83,23,19.5,22.6,1.5,1.1,0.1,0.4,4.5,91.6,1,75,73,,,42,44.0,57103,3.2,3.1,93.0,6,30,4,8,10,12,10,79.9,136,136,136,136,136
43,43,Iowa,Harrison,14049,20,37,8.6,26,51,24,13,360.8,17,5,35,43.0,43.0,48,41,15,6,92,71,2.4,10,4.4,32.0,15.6,7.5,75,No,8,81,47,22.9,19.9,0.4,0.4,0.0,0.4,1.9,95.9,0,76,74,,23.0,38,23.0,63901,3.0,3.2,95.0,5,31,5,9,15,12,10,77.6,136,136,136,136,136
44,44,Iowa,Henry,19954,19,36,8.0,27,80,24,18,317.2,22,6,70,60.0,105.0,45,55,15,7,93,61,2.7,15,3.6,225.0,12.5,8.3,71,No,10,83,21,21.5,19.5,2.6,2.6,0.2,0.4,5.1,87.7,1,71,77,,18.0,47,51.0,57747,3.0,2.9,92.0,6,33,10,9,9,12,10,79.5,136,136,136,136,136
45,45,Iowa,Howard,9158,20,34,8.0,21,81,24,0,140.9,15,6,54,22.0,33.0,55,41,15,7,91,64,2.8,13,3.3,63.0,16.3,7.3,76,No,11,74,24,24.9,20.9,0.6,0.4,0.1,0.3,1.7,96.1,0,80,73,,,45,40.0,58028,2.7,2.9,97.0,6,32,12,9,11,12,10,78.5,136,136,136,136,136
46,46,Iowa,Humboldt,9558,20,32,8.5,24,72,23,40,366.0,11,6,21,42.0,31.0,49,39,15,6,93,69,2.7,13,4.3,57.0,17.8,7.4,59,No,8,83,19,23.4,22.1,0.7,0.5,0.0,0.4,4.5,93.1,1,74,77,,,40,34.0,56695,3.5,3.4,93.0,6,33,5,10,9,12,10,79.4,136,136,136,136,136
47,47,Iowa,Ida,6860,20,32,9.0,29,78,25,50,174.8,19,5,29,44.0,15.0,44,44,14,7,93,76,2.0,12,4.4,162.0,21.9,7.2,84,No,6,77,22,24.6,22.0,0.5,0.7,0.1,0.3,3.2,94.4,0,76,77,,,44,64.0,58249,3.7,3.5,96.0,5,32,0,9,9,12,10,77.2,136,136,136,136,136
48,48,Iowa,Iowa,16184,19,37,9.0,21,76,25,21,186.3,11,4,68,43.0,68.0,45,48,13,5,94,74,2.2,8,3.8,104.0,18.0,8.2,88,Yes,9,80,35,23.3,19.3,0.7,0.6,0.0,0.3,3.2,94.2,0,80,78,,20.0,34,20.0,66861,3.2,3.2,94.0,4,32,3,8,11,12,10,79.3,136,136,136,136,136
49,49,Iowa,Jackson,19439,20,34,8.4,28,75,26,25,247.9,15,6,36,51.0,93.0,49,55,14,5,93,65,3.2,17,4.5,82.0,14.9,8.4,71,No,8,84,41,22.1,21.3,0.6,0.5,0.6,0.3,1.6,95.2,0,79,78,10.0,16.0,46,48.0,57687,3.0,3.1,94.0,6,34,7,9,11,12,10,78.7,136,136,136,136,136
