,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
25,25,Missouri,Clinton,20387,23,34,8.3,31,54,21,21,360.0,23.0,10,54.0,49.0,49.0,42,47,19,7,92,59,3.0,13,3.5,456.0,7.3,7.9,61,Yes,11,83,58,23.2,18.2,1.3,0.5,0.1,0.8,2.3,93.3,0,76,79,18.0,24.0,41,20.0,64541,3.0,3.1,95.0,10,34,3,11,13,15,13,77.4,17,17,17,17,17
26,26,Missouri,Cole,76745,20,41,7.9,20,78,19,23,610.1,21.0,10,66.0,64.0,198.0,58,61,17,8,92,67,2.6,14,3.9,257.0,24.0,8.4,63,No,10,86,16,22.1,17.3,12.0,1.4,0.1,0.4,2.9,81.4,1,66,71,17.0,15.0,49,40.0,61847,2.9,3.0,73.0,10,34,8,11,11,14,12,79.1,17,17,17,17,17
27,27,Missouri,Cooper,17709,22,34,7.6,27,59,20,11,340.1,21.0,11,40.0,34.0,130.0,43,45,20,7,89,56,3.7,17,4.2,99.0,11.9,7.9,39,Yes,11,79,42,21.6,18.3,6.9,0.7,0.1,0.6,2.1,87.7,0,73,75,,,67,33.0,56957,2.6,2.7,93.0,11,36,8,13,7,15,13,78.2,17,17,17,17,17
28,28,Missouri,Crawford,23920,27,40,7.3,29,61,18,22,315.3,32.0,15,,13.0,42.0,41,29,26,9,78,42,3.8,23,4.7,163.0,12.5,8.1,115,No,14,80,37,22.5,20.1,0.5,0.3,0.1,0.7,2.1,95.0,0,71,70,22.0,29.0,60,31.0,48315,3.2,3.3,95.0,15,36,3,17,17,19,17,74.6,17,17,17,17,17
29,29,Missouri,Dade,7561,26,36,7.5,28,13,18,13,276.8,25.0,15,79.0,13.0,66.0,38,44,24,8,87,40,3.1,23,4.0,304.0,14.5,7.7,74,No,13,77,39,20.8,23.9,0.4,0.6,0.0,1.0,2.3,93.2,0,77,72,,,61,14.0,42421,3.1,2.9,,15,36,3,15,13,18,16,74.3,17,17,17,17,17
30,30,Missouri,Dallas,16878,26,31,7.1,25,6,19,18,311.9,35.0,17,6.0,30.0,24.0,38,26,23,8,83,39,4.5,28,4.2,323.0,4.8,7.8,97,Yes,11,81,49,23.7,20.8,0.4,0.4,0.1,1.0,2.2,94.2,0,76,67,20.0,17.0,59,5.0,42389,2.8,2.7,98.0,17,36,9,15,6,18,16,75.7,17,17,17,17,17
31,31,Missouri,Daviess,8278,25,41,7.6,33,32,19,25,239.2,24.0,17,12.0,24.0,24.0,34,38,22,6,85,46,3.3,28,3.8,146.0,7.2,7.6,85,No,12,72,37,25.4,21.2,0.6,0.3,0.1,0.5,1.4,96.0,0,79,74,24.0,29.0,56,,48197,2.9,2.8,86.0,17,36,10,12,8,17,15,79.7,17,17,17,17,17
32,32,Missouri,DeKalb,12547,25,35,7.2,32,65,20,0,198.6,25.0,11,24.0,8.0,,37,42,23,6,87,38,3.1,14,4.2,135.0,7.9,7.7,71,No,10,81,36,17.1,16.6,11.7,0.4,0.1,0.6,2.9,83.4,0,69,71,16.0,16.0,42,9.0,53997,2.9,3.0,,11,37,11,13,9,16,15,77.6,17,17,17,17,17
33,33,Missouri,Dent,15573,27,25,6.7,28,63,18,10,129.2,39.0,16,26.0,19.0,128.0,39,28,24,10,83,45,3.6,30,5.1,93.0,8.4,7.8,110,No,13,83,36,22.2,22.3,0.6,0.8,0.1,1.2,1.9,93.8,0,74,68,13.0,17.0,87,20.0,45540,2.9,2.8,98.0,16,36,9,17,10,18,16,76.4,17,17,17,17,17
34,34,Missouri,Douglas,13185,28,30,6.3,30,39,17,28,270.7,39.0,16,15.0,23.0,61.0,33,38,26,6,82,49,5.1,27,4.3,175.0,9.7,8.2,87,No,15,81,41,22.1,24.9,0.4,0.3,0.0,0.9,1.8,94.6,0,80,62,32.0,30.0,67,34.0,39773,2.8,2.9,98.0,16,37,14,17,12,19,18,76.2,17,17,17,17,17
35,35,Missouri,Dunklin,29131,30,42,5.9,43,68,15,33,381.8,59.0,15,37.0,27.0,209.0,32,36,29,12,76,47,5.5,35,5.2,502.0,15.3,9.4,105,No,15,78,29,25.5,18.8,10.4,0.9,0.0,0.5,7.0,79.5,2,62,74,21.0,20.0,85,39.0,38880,3.0,2.9,92.0,15,38,11,20,18,19,19,72.5,17,17,17,17,17
36,36,Missouri,Franklin,103967,22,37,8.2,35,75,21,30,306.8,25.0,11,65.0,47.0,127.0,46,51,19,8,88,66,3.2,13,3.9,195.0,14.3,8.8,126,Yes,12,84,43,22.7,18.0,1.0,0.6,0.1,0.4,1.9,94.9,0,75,80,17.0,24.0,45,24.0,61428,3.1,3.2,89.0,11,38,4,11,12,15,13,77.0,17,17,17,17,17
37,37,Missouri,Gasconade,14706,22,31,8.5,24,47,20,32,292.0,26.0,13,41.0,20.0,68.0,47,44,19,8,88,60,3.4,17,3.9,145.0,17.7,8.2,135,No,9,81,40,20.6,23.1,0.6,0.4,0.0,0.4,1.6,95.8,0,78,78,19.0,22.0,45,16.0,53751,2.9,2.9,88.0,13,34,1,12,11,16,13,76.6,17,17,17,17,17
38,38,Missouri,Gentry,6571,24,31,8.0,32,62,19,40,105.0,27.0,14,30.0,46.0,46.0,41,44,21,7,89,61,2.7,18,4.2,52.0,18.1,7.6,75,No,8,78,35,25.1,19.9,0.6,0.4,0.0,0.4,1.9,95.5,0,74,75,,,48,,53663,3.2,3.1,,14,36,1,14,16,17,15,76.2,17,17,17,17,17
39,39,Missouri,Greene,293086,21,31,7.5,24,83,18,23,779.1,24.0,12,96.0,77.0,381.0,47,55,20,8,92,71,2.7,13,4.5,770.0,12.1,7.1,92,Yes,15,82,18,20.7,16.8,3.3,2.3,0.1,0.8,3.9,87.0,1,56,77,15.0,23.0,51,28.0,45313,2.9,3.1,89.0,12,33,7,14,12,16,14,77.2,17,17,17,17,17
40,40,Missouri,Grundy,9850,23,32,6.9,30,59,20,18,301.5,34.0,14,20.0,51.0,193.0,46,48,20,8,86,53,3.5,26,4.6,78.0,18.2,7.5,112,Yes,17,75,18,24.1,22.4,1.0,1.1,0.0,0.5,2.4,93.8,2,68,73,20.0,20.0,53,15.0,44323,2.9,3.1,94.0,14,35,13,14,14,16,14,77.6,17,17,17,17,17
41,41,Missouri,Harrison,8352,26,36,6.6,36,23,19,27,234.6,28.0,14,36.0,36.0,96.0,43,38,24,7,88,47,3.3,23,4.0,58.0,11.9,7.5,92,No,14,77,27,24.2,22.8,0.6,0.4,0.1,0.6,2.6,94.6,1,73,77,,,57,36.0,43016,3.0,3.1,,14,35,14,15,17,17,16,78.4,17,17,17,17,17
42,42,Missouri,Henry,21824,25,32,6.4,29,45,19,20,382.2,39.0,13,78.0,64.0,298.0,41,37,23,8,88,55,3.7,28,4.3,312.0,14.7,7.5,109,Yes,12,83,32,21.8,22.1,1.1,0.4,0.1,0.8,2.6,93.3,0,72,79,23.0,25.0,58,34.0,46995,2.7,2.8,86.0,13,35,14,16,20,17,16,75.7,17,17,17,17,17
43,43,Missouri,Hickory,9544,27,30,7.1,25,32,19,44,179.4,30.0,18,11.0,21.0,63.0,41,26,23,10,84,48,4.2,34,4.1,11.0,7.4,7.5,138,Yes,12,82,44,16.7,33.3,0.6,0.3,0.1,1.1,2.0,94.2,1,82,64,23.0,26.0,59,24.0,32934,3.3,3.2,,18,36,7,16,13,18,16,75.6,17,17,17,17,17
44,44,Missouri,Holt,4403,23,31,5.0,29,62,20,33,113.3,14.0,13,23.0,,23.0,45,40,20,6,91,58,2.8,17,3.8,180.0,15.9,7.6,72,No,9,82,36,20.2,26.2,0.4,0.4,0.0,1.3,1.6,95.1,0,76,71,,,42,,47429,3.0,3.2,,13,36,37,13,12,16,14,80.4,17,17,17,17,17
45,45,Missouri,Howard,10001,23,33,7.7,22,36,19,13,384.7,20.0,13,49.0,30.0,60.0,36,45,20,9,88,56,3.1,18,4.1,117.0,10.9,7.8,85,Yes,10,78,44,21.8,19.7,5.0,0.3,0.1,0.8,1.7,90.2,0,78,76,24.0,30.0,45,28.0,49923,3.2,3.2,,13,35,7,13,8,16,14,77.5,17,17,17,17,17
46,46,Missouri,Howell,40117,26,35,6.5,32,65,17,21,309.2,43.0,14,95.0,45.0,244.0,33,37,24,8,87,59,4.1,30,4.9,263.0,12.2,8.7,99,No,17,84,17,23.9,20.1,0.6,0.7,0.1,0.8,2.2,94.1,0,68,72,22.0,25.0,57,22.0,40177,2.8,2.8,95.0,14,37,11,17,18,17,16,75.2,17,17,17,17,17
47,47,Missouri,Iron,10125,27,38,6.2,29,79,18,14,322.7,39.0,13,10.0,20.0,109.0,34,36,24,10,82,51,4.8,31,4.7,276.0,10.8,8.0,114,No,11,81,46,20.8,21.9,1.4,0.1,0.0,0.9,1.9,94.1,0,71,64,20.0,,63,12.0,39292,3.2,3.1,96.0,13,36,11,18,10,18,16,74.2,17,17,17,17,17
48,48,Missouri,Jackson,703011,21,32,7.5,23,92,19,33,921.0,31.0,12,83.0,90.0,246.0,45,51,21,9,91,68,3.7,20,4.7,941.0,11.3,9.1,96,Yes,15,83,34,23.4,15.4,23.1,2.0,0.3,0.6,9.2,62.2,2,58,81,30.0,20.0,59,51.0,57907,2.8,2.9,89.0,12,37,7,14,11,14,13,77.2,17,17,17,17,17
49,49,Missouri,Jasper,121328,23,37,7.2,27,75,18,14,579.0,40.0,15,62.0,60.0,236.0,47,52,22,7,87,60,3.0,27,4.1,416.0,12.7,8.8,74,No,13,83,15,24.7,16.0,2.0,1.3,0.5,1.9,8.5,83.6,2,64,78,17.0,24.0,52,27.0,46021,3.0,3.1,87.0,15,35,11,13,11,16,14,76.1,17,17,17,17,17
50,50,Missouri,Jefferson,225081,21,33,8.0,23,68,21,29,283.3,20.0,11,23.0,40.0,86.0,43,53,18,8,89,67,3.1,11,3.7,192.0,7.7,8.3,120,No,11,87,55,22.9,15.5,1.1,0.8,0.0,0.3,2.1,94.1,0,79,85,18.0,24.0,36,35.0,68779,3.2,3.2,93.0,11,36,8,11,12,16,13,76.0,17,17,17,17,17
51,51,Missouri,Johnson,54062,20,33,7.8,29,49,18,18,760.7,15.0,10,39.0,46.0,150.0,39,44,19,7,92,71,3.7,12,3.9,191.0,8.8,7.6,54,Yes,15,81,28,21.5,12.9,4.7,1.8,0.3,0.7,4.8,85.4,0,61,86,12.0,18.0,39,25.0,58396,3.1,3.1,92.0,10,35,6,13,10,15,13,78.8,17,17,17,17,17
52,52,Missouri,Knox,3959,24,34,7.1,37,14,19,0,125.7,17.0,18,25.0,51.0,51.0,46,41,21,6,87,54,2.9,28,4.7,0.0,12.7,7.8,86,No,13,78,30,23.5,22.2,0.6,0.4,0.0,0.6,1.4,95.5,0,83,63,,,57,41.0,41755,3.0,2.8,,18,34,9,15,15,17,15,79.1,17,17,17,17,17
