,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
39,39,California,San Joaquin,762148,15,36,7.9,26,86,18,28,582.4,22.0,8,60,58,248,35,44,22,7.0,79,51,5.9,18,4.7,787,4.8,14.1,66,Yes,24,79,40,26.8,13.1,7.1,17.4,0.8,2.0,42.0,30.5,9,57,83,12.0,10.0,61,29.0,68458,2.5,2.6,84.0,8,37,5,12,10,14,14,78.6,87,287,287,287,287
40,40,California,San Luis Obispo,283111,14,29,8.6,16,88,24,40,421.0,10.0,7,82,86,631,44,50,15,6.0,91,70,2.9,11,4.6,408,9.2,8.2,63,Yes,22,73,25,17.5,20.9,1.7,4.0,0.2,1.4,22.9,68.5,3,62,88,9.0,19.0,44,23.0,76599,2.9,3.1,92.0,7,30,4,9,9,13,12,81.7,87,287,287,287,287
41,41,California,San Mateo,766573,10,23,9.4,16,100,21,21,401.3,9.0,5,105,104,392,43,49,13,7.0,90,79,2.0,6,5.0,209,5.8,8.3,37,Yes,23,68,43,20.2,16.6,2.3,30.6,1.5,0.9,24.0,38.7,7,60,91,4.0,8.0,34,36.0,135234,3.2,3.2,88.0,5,30,1,7,8,10,10,85.0,87,287,287,287,287
42,42,California,Santa Barbara,446499,13,24,8.7,14,92,20,30,605.2,20.0,11,75,85,551,44,48,19,7.0,81,60,3.7,13,4.7,318,7.8,7.1,59,Yes,29,68,20,22.1,15.7,1.8,6.0,0.3,2.1,46.0,43.8,11,52,88,8.0,13.0,63,25.0,74530,2.6,2.7,90.0,11,31,3,10,8,13,13,82.0,87,287,287,287,287
43,43,California,Santa Clara,1927852,10,20,9.3,16,99,17,26,429.0,10.0,5,104,118,365,39,51,14,7.0,88,79,2.5,6,5.0,264,5.9,9.1,39,Yes,23,75,44,21.6,13.9,2.4,39.0,0.5,1.2,25.0,30.6,9,56,92,4.0,8.0,36,36.0,132444,3.2,3.2,90.0,5,32,1,7,9,10,10,84.9,87,287,287,287,287
44,44,California,Santa Cruz,273213,13,19,8.4,11,94,22,36,452.7,11.0,7,101,82,804,44,51,16,6.0,86,68,4.7,10,5.6,410,7.0,5.3,67,Yes,27,69,39,19.0,17.3,1.0,5.3,0.2,1.8,34.0,56.8,7,60,87,8.0,16.0,52,41.0,85770,2.6,2.7,83.0,7,30,4,10,6,13,12,82.9,87,287,287,287,287
45,45,California,Shasta,180080,17,27,7.2,17,78,21,38,356.3,22.0,7,75,78,387,38,42,17,6.0,91,69,4.7,17,4.9,726,8.1,5.0,100,Yes,23,81,16,21.6,21.1,1.1,3.1,0.2,3.2,10.5,79.2,1,64,80,17.0,26.0,56,23.0,61464,2.8,3.0,87.0,7,33,9,14,12,15,14,76.2,87,287,287,287,287
46,46,California,Sierra,3005,16,19,6.3,26,70,23,0,200.1,26.0,7,33,67,166,35,21,17,9.0,92,59,5.4,18,5.8,422,0.0,6.5,141,No,18,72,48,16.5,32.0,0.4,0.9,0.1,2.6,12.7,82.1,0,75,75,,,44,,55862,2.7,2.7,,7,33,28,11,7,15,13,81.5,87,287,287,287,287
47,47,California,Siskiyou,43539,18,35,6.7,25,72,23,34,303.3,23.0,8,71,69,446,39,32,19,9.0,90,63,6.5,26,4.6,344,10.5,4.9,124,Yes,20,75,22,20.1,26.1,1.4,1.6,0.4,5.1,13.2,75.2,1,65,80,20.0,25.0,66,23.0,45954,2.6,2.7,82.0,8,33,10,16,10,15,14,76.5,87,287,287,287,287
48,48,California,Solano,447643,14,29,8.5,22,97,20,32,702.9,16.0,6,84,93,386,33,39,17,7.0,88,64,3.7,11,4.1,476,5.4,9.0,60,No,21,77,44,22.0,16.3,13.7,16.2,1.0,1.3,27.3,37.2,5,61,91,12.0,13.0,52,31.0,85704,2.6,2.8,82.0,6,36,3,10,9,13,12,80.2,87,287,287,287,287
