,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
14,New Mexico,Lea,71070,19,34,8.1,28,84,16,36,495.9,59.0,13,32.0,31.0,120,31,24,23,9.0,74,45,3.9,18,4.6,439.0,9.6,5.9,96.0,Yes,14,84,19,29.7,11.4,3.4,0.7,0.1,2.0,60.1,34.3,7,67,78,19.0,17.0,53,23.0,63012,2.7,,88.0,13,34,4,12,12,15,14,75.6
15,New Mexico,Lincoln,19572,18,24,6.4,22,85,19,36,247.5,35.0,12,51.0,36.0,526,30,43,18,9.0,89,56,4.6,26,4.7,380.0,16.9,5.4,134.0,Yes,16,75,18,18.2,29.2,0.6,0.6,0.1,4.4,34.4,60.3,3,81,75,35.0,31.0,85,10.0,47254,2.6,,82.0,12,31,18,14,10,14,13,78.1
16,New Mexico,Los Alamos,19369,10,23,8.8,11,99,19,0,122.7,5.0,2,157.0,93.0,217,45,46,9,8.0,98,91,3.2,3,3.6,178.0,16.2,5.1,68.0,No,7,78,9,22.0,18.1,1.2,6.6,0.1,1.4,18.5,71.2,1,74,90,,13.0,9,22.0,122001,3.5,,89.0,2,26,5,8,7,10,8,83.8
17,New Mexico,Luna,23709,21,35,5.0,33,70,15,22,585.6,79.0,12,38.0,38.0,169,23,31,30,8.0,70,33,12.2,33,5.9,701.0,7.9,6.2,106.0,Yes,16,82,18,26.0,21.2,1.0,1.1,0.2,2.5,67.9,28.5,12,61,63,30.0,30.0,100,25.0,32544,2.4,,71.0,12,34,17,22,11,16,17,75.9
18,New Mexico,McKinley,71367,28,38,2.8,26,43,14,33,970.2,34.0,16,76.0,70.0,168,29,51,31,8.0,77,49,7.0,39,6.8,710.0,5.4,5.9,158.0,Yes,29,73,32,28.1,12.9,0.5,1.1,0.1,79.6,14.2,8.3,3,71,44,12.0,27.0,99,60.0,36404,2.1,,72.0,16,38,41,22,19,22,23,71.9
19,New Mexico,Mora,4521,16,27,6.4,22,28,15,21,505.4,19.0,8,,44.0,111,29,35,27,7.0,89,66,6.0,30,4.9,120.0,0.0,4.4,146.0,Yes,22,67,61,17.3,28.9,0.3,0.6,0.0,3.2,81.2,16.9,4,86,54,,,100,,36968,2.5,,,8,33,16,15,14,14,15,82.7
20,New Mexico,Otero,67490,20,31,6.3,23,55,16,26,560.6,46.0,12,42.0,53.0,280,41,34,22,8.0,83,61,4.9,28,4.4,355.0,8.7,6.4,102.0,Yes,12,80,18,22.9,17.3,3.4,1.6,0.3,8.3,38.6,48.3,6,64,78,26.0,30.0,75,39.0,43135,2.7,,77.0,12,35,15,16,10,15,15,78.1
21,New Mexico,Quay,8253,21,27,6.9,27,70,16,21,469.5,47.0,10,24.0,36.0,1430,32,31,25,7.0,82,48,5.2,34,3.7,480.0,15.8,5.3,123.0,Yes,7,80,17,21.4,25.7,1.6,1.2,0.2,2.8,46.0,48.9,2,61,56,36.0,38.0,52,12.0,34596,2.7,,78.0,10,35,7,17,10,16,16,74.9
22,New Mexico,Rio Arriba,38921,18,29,6.5,20,76,15,46,684.4,33.0,11,46.0,75.0,506,31,36,26,12.0,86,55,5.3,27,6.5,602.0,5.4,5.6,181.0,Yes,13,86,56,23.1,20.1,0.5,0.8,0.2,19.4,71.1,12.8,2,77,58,20.0,23.0,99,39.0,44579,2.3,,74.0,11,35,23,12,10,15,16,74.0
23,New Mexico,Roosevelt,18500,19,31,6.4,30,80,17,19,848.9,37.0,12,37.0,43.0,297,34,24,22,7.0,80,55,4.5,25,5.0,478.0,11.7,6.0,97.0,Yes,21,76,23,24.4,14.7,2.1,1.5,0.2,2.3,43.2,50.5,7,58,78,23.0,22.0,60,10.0,44928,3.0,,68.0,12,33,14,16,9,15,15,76.8
24,New Mexico,Sandoval,146748,16,28,7.3,15,85,18,45,515.8,18.0,10,62.0,46.0,350,36,43,18,9.0,90,63,4.8,14,4.0,246.0,4.5,6.9,85.0,Yes,16,79,46,22.8,18.5,2.1,1.7,0.2,14.1,39.9,42.5,2,79,83,15.0,20.0,47,40.0,71118,2.8,,81.0,10,33,13,12,9,14,13,79.0
25,New Mexico,San Juan,123958,23,35,6.1,23,56,15,37,877.7,37.0,13,54.0,102.0,237,32,50,24,8.0,85,56,5.7,27,4.7,744.0,6.9,7.1,134.0,Yes,18,84,31,26.0,15.6,0.6,0.6,0.1,41.6,20.6,37.5,2,71,66,19.0,31.0,75,54.0,46201,2.7,,73.0,13,33,18,16,14,17,16,76.0
26,New Mexico,San Miguel,27277,17,31,4.8,24,66,15,33,673.9,29.0,8,51.0,51.0,1027,30,34,26,11.0,83,59,5.8,32,6.2,480.0,5.1,5.3,123.0,Yes,20,73,27,17.5,22.6,1.5,1.5,0.2,3.3,77.6,17.9,4,70,57,20.0,26.0,87,9.0,36986,2.3,,73.0,8,35,28,18,14,15,15,77.1
27,New Mexico,Santa Fe,150358,14,16,7.7,13,79,18,28,515.0,23.0,14,114.0,88.0,727,37,44,18,11.0,89,58,3.9,16,4.7,326.0,8.8,6.2,99.0,Yes,17,79,27,17.6,25.3,0.8,1.6,0.2,4.3,50.9,43.2,5,71,81,16.0,26.0,69,34.0,61791,2.6,,73.0,14,29,11,11,6,13,12,81.5
28,New Mexico,Sierra,10791,21,29,5.1,26,87,18,33,278.9,50.0,11,46.0,74.0,213,26,18,22,8.0,84,46,6.8,40,4.7,532.0,10.0,5.5,173.0,Yes,15,81,12,15.8,37.4,0.6,1.0,0.1,3.1,31.0,64.0,2,74,62,36.0,43.0,100,41.0,33661,,,83.0,11,35,21,20,14,16,15,73.7
29,New Mexico,Socorro,16637,22,31,5.2,23,53,17,14,601.3,40.0,12,42.0,54.0,162,27,38,26,8.0,82,47,5.8,38,5.5,515.0,4.2,5.5,121.0,No,14,64,23,22.2,20.1,0.9,2.3,0.1,14.7,49.8,33.5,4,73,55,18.0,32.0,100,51.0,39582,2.6,,77.0,12,35,22,19,12,16,16,77.6
30,New Mexico,Taos,32723,17,16,6.0,12,83,19,58,335.4,30.0,12,91.0,52.0,825,27,43,21,11.0,90,59,6.0,25,5.3,417.0,10.4,5.0,124.0,Yes,17,67,25,17.4,27.5,0.5,1.0,0.1,7.5,56.5,35.8,3,76,67,26.0,32.0,86,31.0,43032,2.5,,74.0,12,32,21,15,7,14,14,80.1
31,New Mexico,Torrance,15461,20,34,5.7,25,9,16,16,419.2,30.0,11,6.0,19.0,136,31,32,24,10.0,85,45,6.8,30,4.5,396.0,5.8,5.7,134.0,Yes,22,79,51,20.2,21.5,1.5,0.6,0.3,4.2,43.8,50.3,2,83,63,34.0,37.0,73,5.0,39532,2.9,,79.0,11,36,19,17,12,16,16,77.7
32,New Mexico,Union,4059,20,34,7.2,25,76,19,25,191.1,34.0,12,24.0,,887,28,29,22,7.0,82,38,3.5,27,4.2,130.0,14.6,4.6,48.0,No,5,72,28,18.7,21.9,1.9,0.7,0.1,3.5,43.1,51.7,2,65,61,,,60,,38221,3.4,,,12,33,11,13,12,15,14,80.2
33,New Mexico,Valencia,76688,18,34,6.0,25,48,16,26,758.5,27.0,12,34.0,27.0,219,36,36,24,9.0,84,53,5.3,23,4.5,917.0,5.4,6.4,100.0,Yes,17,83,46,23.3,18.2,1.1,0.8,0.2,6.4,61.1,31.9,3,81,68,17.0,21.0,82,19.0,54867,2.7,,73.0,12,34,24,14,11,15,15,77.4
