,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
14,Montana,Fergus,11050,20,33,7.9,27,72,22,62.0,301.1,19.0,13,81.0,109.0,235.0,45,48,14,7.0,93,69,3.1,16,3.9,502.0,16.2,3.7,107.0,Yes,14,67,15,20.5,25.2,0.3,0.5,0.0,1.8,2.2,93.7,0,73,79,21.0,21.0,45,33.0,48703,3.0,,84.0,13,32,11,10,12,13,11,78.5
15,Montana,Flathead,103806,19,25,8.5,20,81,22,47.0,329.0,23.0,10,89.0,71.0,301.0,42,44,14,6.0,95,66,4.7,12,4.0,305.0,13.4,5.5,81.0,No,16,80,23,21.7,20.2,0.3,0.8,0.1,1.3,3.0,92.6,0,74,84,18.0,25.0,36,33.0,61334,3.1,3.2,88.0,10,30,4,10,8,13,11,79.8
16,Montana,Gallatin,114434,15,19,9.0,13,82,26,64.0,500.9,8.0,9,82.0,66.0,337.0,42,50,11,7.0,97,83,2.3,8,4.3,226.0,12.0,6.6,57.0,Yes,16,73,13,19.7,13.1,0.4,1.6,0.1,1.1,4.0,91.3,0,61,87,15.0,22.0,21,23.0,73731,3.5,3.5,89.0,9,28,3,8,5,12,10,82.6
17,Montana,Garfield,1258,20,38,7.7,28,13,22,33.0,,,18,0.0,0.0,79.0,44,33,15,,97,73,2.4,27,4.3,38.0,0.0,4.7,,No,13,51,14,23.2,24.1,0.4,0.1,0.0,0.6,0.7,97.5,0,73,76,,,26,,43106,2.9,3.3,,18,33,20,7,11,14,12,
18,Montana,Glacier,13753,34,38,6.2,31,58,19,73.0,1327.0,51.0,18,87.0,44.0,204.0,20,24,27,9.0,90,51,7.5,32,5.3,225.0,5.8,5.5,129.0,No,17,68,22,31.4,12.6,0.3,0.4,0.0,64.7,3.6,30.2,0,59,66,20.0,32.0,66,72.0,41808,2.3,2.2,63.0,18,37,10,19,16,20,19,70.9
19,Montana,Golden Valley,821,20,26,4.8,29,1,22,,,,12,121.0,0.0,0.0,40,31,15,,92,48,4.1,33,4.9,239.0,0.0,4.4,,No,15,56,55,21.4,27.8,0.6,0.6,0.0,2.2,4.9,88.9,0,77,71,,,49,,40469,,,,12,33,42,11,10,14,12,
20,Montana,Granite,3379,19,25,8.3,18,70,23,22.0,208.5,,13,30.0,0.0,,40,30,14,7.0,92,56,5.7,19,3.4,140.0,0.0,6.2,90.0,No,9,59,36,14.6,31.6,0.5,0.4,0.0,0.9,2.4,94.0,0,79,75,,,46,,49646,3.6,3.6,,13,32,5,11,13,13,11,85.5
21,Montana,Hill,16484,24,39,6.7,28,76,25,39.0,1032.6,58.0,12,61.0,91.0,352.0,45,32,20,8.0,91,63,3.7,19,4.6,467.0,11.0,5.3,81.0,No,13,79,8,27.9,15.3,0.5,0.5,0.1,24.9,4.0,68.3,0,62,79,,12.0,53,58.0,51881,2.9,2.9,73.0,12,36,19,13,11,15,14,77.6
22,Montana,Jefferson,12221,17,27,9.1,22,56,23,29.0,159.8,12.0,9,83.0,49.0,82.0,40,46,13,8.0,94,72,3.3,10,4.2,318.0,6.6,5.9,94.0,Yes,10,75,20,20.4,22.2,0.4,0.5,0.1,1.8,2.9,92.3,0,84,81,22.0,32.0,34,9.0,70929,3.2,3.2,,9,31,3,8,9,12,10,78.8
23,Montana,Judith Basin,2007,19,35,6.8,22,9,23,13.0,,,9,0.0,0.0,50.0,47,36,14,,94,77,3.1,22,4.5,179.0,0.0,3.9,,No,10,52,34,19.6,27.5,0.0,0.4,0.0,1.0,1.9,95.8,0,76,76,,,37,,49401,,,,9,32,22,11,13,13,11,84.0
24,Montana,Lake,30458,23,31,8.1,23,55,23,48.0,535.1,35.0,16,76.0,85.0,250.0,43,36,18,8.0,92,60,4.2,23,4.7,446.0,9.3,7.9,107.0,No,18,75,20,23.3,22.7,0.5,0.5,0.1,24.6,4.8,65.0,0,72,77,25.0,37.0,51,19.0,49019,,,81.0,16,33,3,13,11,16,14,77.4
25,Montana,Lewis and Clark,69432,17,27,8.4,20,78,20,35.0,357.1,21.0,8,95.0,85.0,485.0,45,50,13,7.0,96,75,3.0,12,4.1,424.0,21.7,7.6,95.0,Yes,11,78,10,21.3,19.4,0.4,0.7,0.1,2.3,3.4,91.0,0,69,83,19.0,24.0,33,13.0,66075,3.1,,84.0,8,30,6,9,9,13,10,79.2
26,Montana,Liberty,2337,24,37,6.7,24,39,22,100.0,,,16,41.0,43.0,,41,34,19,7.0,70,43,2.5,29,4.0,330.0,16.5,4.9,,Yes,21,53,12,20.2,22.1,0.5,0.2,0.0,0.9,0.8,95.6,1,63,69,,,40,,41240,3.2,3.6,,16,33,21,11,13,16,14,91.2
27,Montana,Lincoln,19980,22,27,7.3,21,99,20,50.0,236.6,25.0,13,71.0,70.0,220.0,33,22,18,7.0,90,49,7.2,28,5.0,203.0,11.6,9.8,93.0,No,17,74,12,17.9,29.5,0.4,0.4,0.1,1.3,3.3,92.3,0,80,74,28.0,31.0,54,29.0,43669,3.4,3.3,94.0,13,35,6,15,10,15,14,79.5
28,Montana,McCone,1664,20,31,8.4,28,38,24,33.0,,,15,0.0,0.0,,49,45,14,,93,69,2.0,17,3.6,59.0,17.9,4.7,142.0,No,11,62,22,21.1,27.1,0.6,0.4,0.0,1.4,1.8,93.9,1,81,73,,,33,,48551,3.1,2.9,,15,33,11,7,10,14,11,76.6
29,Montana,Madison,8600,18,23,8.1,22,35,24,35.0,159.0,14.0,13,68.0,12.0,70.0,35,26,13,6.0,95,66,3.2,12,3.8,89.0,11.4,5.5,89.0,No,15,65,31,15.3,29.5,0.4,0.6,0.0,0.7,4.4,92.5,2,77,73,,,33,33.0,56579,3.1,3.3,,13,33,10,9,8,12,10,81.9
30,Montana,Meagher,1862,21,29,4.5,23,64,21,67.0,216.1,,11,107.0,0.0,107.0,35,15,15,,95,46,3.5,24,3.8,106.0,0.0,4.1,,No,8,64,13,18.7,31.6,0.4,0.4,0.0,0.7,1.8,95.3,0,73,62,,,65,,43946,3.0,,,11,33,46,11,12,14,12,82.4
31,Montana,Mineral,4397,23,31,5.9,25,100,22,17.0,399.5,31.0,11,46.0,23.0,182.0,39,29,18,8.0,89,50,5.7,23,4.4,93.0,0.0,7.6,131.0,Yes,14,73,39,18.2,29.6,0.5,0.7,0.0,2.0,3.1,91.5,0,74,67,,,43,6.0,43928,3.0,2.9,,11,35,22,15,11,15,13,78.7
32,Montana,Missoula,119600,17,21,8.2,18,93,23,36.0,529.6,12.0,9,102.0,90.0,488.0,47,53,13,7.0,96,76,3.2,11,4.7,345.0,11.8,8.8,78.0,Yes,18,73,15,18.6,16.2,0.4,1.8,0.1,2.7,3.4,89.1,0,59,86,18.0,24.0,31,27.0,57279,3.2,3.3,89.0,9,32,7,10,7,13,11,79.8
33,Montana,Musselshell,4633,24,31,7.4,29,55,20,0.0,150.9,22.0,12,,,43.0,42,34,20,9.0,92,55,3.9,26,4.3,551.0,8.6,4.7,147.0,No,18,70,42,18.5,27.6,0.8,1.8,0.0,2.1,3.7,89.7,0,72,76,,43.0,55,8.0,48290,3.0,3.0,,12,37,11,12,9,16,14,77.4
34,Montana,Park,16606,19,21,7.9,24,60,25,55.0,171.2,9.0,10,120.0,66.0,283.0,33,31,13,8.0,94,74,3.4,13,4.0,170.0,15.5,5.3,126.0,Yes,15,68,29,17.1,23.7,0.3,0.4,0.0,1.2,3.3,93.0,0,69,80,26.0,40.0,41,19.0,51740,2.8,2.9,92.0,10,32,11,10,8,13,10,80.7
35,Montana,Petroleum,487,18,23,5.5,20,6,23,100.0,,,9,0.0,0.0,0.0,24,43,13,,99,77,3.6,26,4.3,,0.0,4.5,,No,4,43,23,16.8,25.7,0.0,0.0,0.0,1.2,2.3,94.3,0,75,84,,,64,,42081,,,,9,32,40,9,9,13,10,
36,Montana,Phillips,3954,22,36,7.6,34,65,23,40.0,97.1,27.0,15,25.0,25.0,101.0,33,42,18,6.0,91,60,3.7,20,3.7,240.0,7.4,4.7,132.0,No,7,67,19,23.7,23.2,0.2,0.3,0.0,9.6,3.8,82.7,0,77,71,49.0,49.0,46,,47679,2.8,2.9,,15,36,11,12,10,15,13,77.2
37,Montana,Pondera,5911,22,32,6.4,24,49,24,33.0,167.8,27.0,13,50.0,17.0,135.0,33,39,17,8.0,93,63,3.8,25,4.1,105.0,15.1,5.1,106.0,Yes,13,71,21,24.2,20.6,0.4,0.7,0.1,14.7,2.2,80.5,1,75,74,,,54,68.0,48542,2.8,3.0,,13,34,22,13,15,15,13,77.4
38,Montana,Powder River,1682,20,23,7.3,27,18,22,67.0,,,13,0.0,0.0,,29,46,15,,94,69,2.4,20,3.9,0.0,0.0,6.3,,No,8,67,24,16.8,27.7,0.1,0.1,0.0,1.9,2.3,92.7,0,75,78,,,60,,47843,,,,13,33,18,10,9,14,12,82.7
