,County Pair,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,% Enrolled in Free or Reduced Lunch,Median Household Income,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,Cig Tax Rate
575,Mason/Sheboygan,5.0,1.0,-1.4000000000000004,5.0,2.0,-7.0,4.0,-155.90000000000003,6.0,10.0,-9.0,152.0,5.0,-26.0,5.0,2.0,-1.0,-4.0,2.2,12.0,0.39999999999999947,125.0,-2.9000000000000004,-1.1999999999999993,19.0,0.0,2.0,-3.0,1.0,-1.5999999999999979,5.800000000000001,-1.3,-5.1,-0.1,0.5000000000000001,-2.1000000000000005,7.799999999999997,-1.0,7.0,-8.0,24.0,-12239.0,4.0,1.0,7.0,7.0,4.0,3.0,-1.3999999999999915,-0.042907794150800316
576,Menominee/Door,6.0,1.0,-2.0,7.0,-1.0,-7.0,13.0,32.79999999999998,14.0,-46.0,3.0,-14.0,0.0,-6.0,6.0,-2.0,-1.0,-8.0,0.20000000000000018,3.0,0.2999999999999998,179.0,-8.700000000000001,-0.2999999999999998,-11.0,0.0,-1.0,-3.0,8.0,1.3000000000000007,-4.899999999999999,-0.09999999999999998,0.0,0.0,2.4000000000000004,-1.5,-0.7999999999999972,-1.0,-2.0,-7.0,16.0,-15028.0,6.0,11.0,5.0,-3.0,4.0,3.0,-2.9000000000000057,-0.042907794150800316
577,Menominee/Marinette,1.0,0.0,-0.7999999999999998,4.0,-5.0,-6.0,-8.0,-82.00000000000003,7.0,-44.0,11.0,-4.0,-2.0,-2.0,2.0,-2.0,2.0,-5.0,-0.5999999999999996,0.0,-0.2999999999999998,182.0,-4.4,-0.09999999999999964,-1.0,0.0,-2.0,-7.0,4.0,-1.2999999999999972,1.1000000000000014,0.0,0.0,0.0,2.3,0.0,-2.5,0.0,3.0,-4.0,10.0,-5215.0,4.0,4.0,2.0,2.0,2.0,1.0,1.2000000000000028,-0.042907794150800316
578,Monroe/Lucas,-3.0,2.0,0.8999999999999995,-1.0,-19.0,6.0,4.0,-532.5,-11.0,-57.0,-31.0,-161.0,-3.0,-2.0,-3.0,-3.0,2.0,-1.0,-0.8000000000000003,-12.0,-1.0999999999999996,-584.0,-1.5999999999999996,-1.1000000000000005,-15.0,0.0,-3.0,2.0,17.0,-1.8999999999999986,2.1000000000000014,-17.1,-1.0,-0.1,0.0,-3.7,22.799999999999997,-1.0,20.0,0.0,4.0,14417.0,-3.0,1.0,-5.0,-2.0,-1.0,-1.0,2.200000000000003,0.04007252089397706
579,Muskegon/Milwaukee,5.0,5.0,-1.5999999999999996,2.0,-21.0,-3.0,-13.0,-432.0,2.0,-14.0,-15.0,-85.0,3.0,0.0,0.0,0.0,3.0,-7.0,0.2999999999999998,-7.0,-0.7000000000000002,-580.0,1.9000000000000004,0.0,-19.0,-1.0,-7.0,7.0,-3.0,-0.9000000000000021,3.6000000000000014,-12.600000000000001,-4.0,0.0,0.0,-9.8,25.800000000000004,-3.0,26.0,1.0,2.0,-2775.0,5.0,14.0,1.0,4.0,3.0,2.0,0.09999999999999432,-0.042907794150800316
580,Muskegon/Ozaukee,11.0,13.0,-2.9000000000000004,11.0,-12.0,-8.0,-12.0,612.5999999999999,28.0,-78.0,-34.0,-29.0,-6.0,-8.0,9.0,4.0,-6.0,-26.0,1.4,13.0,0.09999999999999964,381.0,-0.9000000000000004,-0.5999999999999996,25.0,-1.0,2.0,-2.0,-13.0,1.6999999999999993,-2.799999999999997,12.1,-1.9000000000000001,0.0,0.7,2.6999999999999997,-14.599999999999994,0.0,-1.0,-9.0,46.0,-39716.0,11.0,13.0,9.0,6.0,6.0,7.0,-5.099999999999994,-0.042907794150800316
581,Oceana/Ozaukee,10.0,14.0,-1.6000000000000005,10.0,0.0,-8.0,11.0,197.8,29.0,-84.0,-69.0,-215.0,-4.0,-26.0,11.0,2.0,-10.0,-37.0,3.0000000000000004,19.0,-0.40000000000000036,410.0,-2.4000000000000004,-1.6000000000000005,21.0,-1.0,3.0,-7.0,-7.0,1.1000000000000014,0.9000000000000021,-0.5,-2.3000000000000003,0.0,1.2,12.0,-9.700000000000003,3.0,7.0,-14.0,55.0,-38127.0,9.0,-2.0,9.0,7.0,6.0,7.0,-3.0,-0.042907794150800316
582,Oceana/Sheboygan,7.0,5.0,-1.5000000000000009,2.0,6.0,-8.0,9.0,-16.100000000000023,16.0,-9.0,-30.0,-119.0,1.0,-24.0,8.0,2.0,-6.0,-18.0,3.2,12.0,0.09999999999999964,310.0,-5.9,-0.7999999999999998,5.0,0.0,4.0,-5.0,13.0,0.40000000000000213,2.8000000000000007,-1.0,-5.5,-0.1,0.9,8.399999999999999,-2.200000000000003,2.0,13.0,-10.0,35.0,-9789.0,5.0,0.0,7.0,8.0,5.0,5.0,-0.7000000000000028,-0.042907794150800316
583,Ontonagon/Ashland,1.0,-1.0,-0.7000000000000002,8.0,8.0,-3.0,25.0,-183.6,-5.0,-143.0,-19.0,-317.0,8.0,-18.0,1.0,3.0,0.0,-9.0,2.0,0.0,-1.0,62.0,-2.9000000000000004,0.7000000000000002,-12.0,-1.0,0.0,8.0,15.0,-9.5,17.500000000000004,-0.2,0.0,0.0,-10.2,-1.4,12.399999999999991,0.0,20.0,-1.0,-6.0,-1671.0,5.0,-1.0,3.0,2.0,1.0,1.0,1.5999999999999943,-0.042907794150800316
584,Ottawa/Milwaukee,-3.0,-5.0,0.20000000000000107,-4.0,-9.0,-3.0,1.0,-856.3,-19.0,-6.0,-26.0,-118.0,4.0,1.0,-5.0,-4.0,5.0,5.0,-1.2000000000000002,-17.0,-1.2999999999999998,-777.0,2.8000000000000007,0.7999999999999989,-53.0,-1.0,-9.0,6.0,-2.0,-0.10000000000000142,1.5,-24.7,-1.7000000000000002,0.1,-0.4,-5.4,32.800000000000004,-1.0,29.0,8.0,-23.0,16322.0,-1.0,6.0,-5.0,-1.0,-1.0,-2.0,4.8999999999999915,-0.042907794150800316
585,Ottawa/Racine,-2.0,-12.0,0.0,-3.0,-4.0,-5.0,-5.0,-292.0,-15.0,22.0,-17.0,38.0,-2.0,-2.0,-1.0,-2.0,3.0,7.0,-1.2999999999999998,-10.0,-0.7999999999999998,33.0,2.3000000000000007,-0.40000000000000036,-14.0,0.0,-2.0,-1.0,-11.0,0.8000000000000007,-1.6000000000000014,-9.700000000000001,1.7,0.0,-0.09999999999999998,-3.4000000000000004,12.0,1.0,10.0,2.0,-12.0,8136.0,1.0,1.0,-1.0,-1.0,0.0,0.0,3.5,-0.042907794150800316
586,St. Joseph/LaGrange,-5.0,-1.0,-1.2000000000000002,1.0,35.0,3.0,18.0,211.0,16.0,5.0,8.0,129.0,4.0,-5.0,-3.0,1.0,25.0,24.0,1.5,5.0,0.40000000000000036,198.0,5.0,-0.09999999999999964,43.0,0.0,2.0,21.0,-3.0,-8.199999999999996,4.6,1.9,0.29999999999999993,0.0,0.3,4.2,-7.900000000000006,-1.0,-7.0,18.0,16.0,-16722.0,2.0,5.0,4.0,8.0,-2.0,0.0,-2.1000000000000085,0.10209077754982815
587,Big Stone/Roberts,-4.0,-3.0,0.2999999999999998,-14.0,36.0,3.0,-17.0,-727.5,-34.0,92.0,-95.0,-67.0,10.0,20.0,-5.0,3.0,3.0,3.0,-0.09999999999999964,-14.0,-0.20000000000000018,-96.0,12.700000000000001,0.7999999999999998,-42.0,0.0,0.0,0.0,2.0,-7.699999999999999,7.100000000000001,-0.29999999999999993,0.0,0.0,-37.8,-1.6999999999999997,39.8,0.0,7.0,3.0,-17.0,3604.0,0.0,3.0,-3.0,-6.0,-1.0,-3.0,6.400000000000006,0.09831044764010305
