,,,Premature death,,,,,,,,,,,,,,,,,,,,,,,,,,Poor or fair health,,,,Poor physical health days,,,,Poor mental health days,,,,Low birthweight,,,,,,,,,,,,,,,,,,,,Adult smoking,,,,Adult obesity,,,,Food environment index,,Physical inactivity,,,,Access to exercise opportunities,,Excessive drinking,,,,Alcohol-impaired driving deaths,,,,,,Sexually transmitted infections,,,Teen births,,,,,,,,,,,,,,,,,,,Uninsured,,,,,Primary care physicians,,,,Dentists,,,,Mental health providers,,,,Preventable hospital stays,,,,,,,Mammography screening,,,,,,,Flu vaccinations,,,,,,,High school completion,,,,,,Some college,,,,,,Unemployment,,,,Children in poverty,,,,,,,,,Income inequality,,,,Children in single-parent households,,,,,,Social associations,,,Violent crime,,,Injury deaths,,,,,,,,,,,,,,,,,,,,Air pollution - particulate matter,,Drinking water violations,,Severe housing problems,,,,,,,,,,,,,Driving alone to work,,,,,,,,,,,,,,,,,,,Long commute - driving alone,,,,,
38017,North Dakota,Cass,,1476,5590,5206,5973,-0.81,20719,14802,28213,,,,,,6568,4859,8683,,7816,5194,11296,,5224,4833,5615,,13,11,15,-0.87,3.1,2.8,3.5,-0.59,3.6,3.2,4.0,-0.36,,7,6,7,0.14,8,5,11,8,6,10,9,7,10,6,4,8,6,6,7,18,15,21,-0.82,33,31,35,-0.35,9.4,-0.83,19,18,21,-1.67,87,-1.37,23,22,23,-0.56,15,38,39,31,47,-0.10,879,494.4,0.15,13,12,14,-0.71,46,32,66,23,15,33,28,22,36,51,39,65,9,8,10,11212,7,6,8,-0.92,179,99,1014:1,-0.40,145,80,1255:1,-0.66,525,289,347:1,-1.30,4281,-0.01,355,,7975,4856,4280,57,-0.81,35,32,26,33,58,59,-1.37,55,54,33,48,59,106054,111847,95,94,96,-1.42,43041,53790,80,77,83,-1.40,2078,102347,2.0,-0.66,9,7,12,-0.70,9,23,46,10,4,122497,27466,4.5,-0.03,7552,39520,19,16,22,0.19,193,10.6,0.72,524,309,2.00,475,53,49,58,-1.39,165,101,255,,,,27,15,45,58,32,97,54,49,59,5.1,0.49,No,-0.31,13,12,14,11,10,12,2,1,2,1,1,1,0.81,83,82,84,0.99,66,52,80,63,55,71,78,72,84,70,60,80,85,84,86,102906,9,8,9,-1.48,
38019,North Dakota,Cavalier,x,,,,,0.00,,,,,,,,,,,,,,,,,,,,,14,12,16,-0.55,3.1,2.7,3.5,-0.60,3.5,3.2,3.9,-0.53,,10,7,14,2.45,,,,,,,,,,,,,,,,19,16,23,-0.42,32,25,39,-0.65,9.1,-0.51,28,22,34,0.32,66,-0.43,26,25,27,1.48,2,3,67,39,82,1.13,,,0.00,22,12,36,-0.21,,,,,,,,,,,,,,,,210,8,6,9,-0.79,1,26,3829:1,0.60,0,0,3762:0,1.32,2,53,1881:1,0.55,2087,-1.23,,,,,,61,-1.28,,,,,,55,-1.06,,,,,,2497,2718,92,90,94,-0.42,490,646,76,62,90,-0.91,52,1882,2.8,-0.02,12,7,17,-0.25,,,,,,123500,28792,4.3,-0.23,107,813,13,6,20,-0.38,5,13.1,0.45,3,79,-0.53,17,89,52,143,-0.16,,,,,,,,,,,,,,,,5.3,0.69,No,-0.31,6,3,10,6,2,9,1,0,2,0,0,1,-0.83,78,73,83,0.18,,,,,,,,,,,,,,,,1844,13,8,17,-0.97,
38021,North Dakota,Dickey,x,,,,,0.00,,,,,,,,,,,,,,,,,,,,,14,12,16,-0.50,3.3,2.9,3.7,-0.30,3.5,3.2,3.9,-0.50,x,4,3,6,-1.30,,,,,,,,,,,,,,,,19,16,22,-0.58,36,29,44,0.40,9.7,-1.15,26,20,32,-0.20,72,-0.68,25,24,27,1.12,4,5,80,67,88,1.74,4,82.3,-0.80,13,7,21,-0.73,,,,,,,,,,,,,,,,352,9,8,11,-0.10,4,82,1226:1,-0.16,3,62,1624:1,-0.21,1,21,4872:1,0.81,4477,0.09,,,,,,48,0.26,,,,,,50,-0.68,,,,,,3037,3325,91,89,94,-0.23,750,1037,72,61,84,-0.49,43,2281,1.9,-0.78,13,7,19,-0.05,,,,,,115826,30491,3.8,-0.81,181,1156,16,6,25,-0.14,13,26.5,-1.02,4,69,-0.65,17,69,40,110,-0.88,,,,,,,,,,,,,,,,5.3,0.69,No,-0.31,7,4,10,4,1,8,2,0,4,1,0,2,-0.72,72,68,77,-0.78,,,,,,,,,,,,,,,,2515,18,14,23,-0.30,
38023,North Dakota,Divide,x,,,,,0.00,,,,,,,,,,,,,,,,,,,,,16,14,18,-0.10,3.5,3.1,3.8,-0.04,3.8,3.4,4.1,0.04,,,,,0.00,,,,,,,,,,,,,,,,21,18,24,0.03,33,24,42,-0.38,8.6,0.02,24,17,33,-0.52,55,0.10,24,22,25,0.16,1,4,25,2,54,-0.76,,,0.00,,,,0.00,,,,,,,,,,,,,,,,173,10,9,12,0.26,,,,0.00,0,0,2264:0,1.32,,,,0.00,5281,0.54,,,,,,45,0.62,,,,,,18,1.78,,,,,,1612,1727,93,90,97,-0.92,191,403,47,31,63,2.47,20,1439,1.4,-1.21,14,8,20,0.06,,,,14,4,128000,25045,5.1,0.73,69,451,15,3,28,-0.18,7,30.7,-1.47,0,0,-1.40,,,,,0.00,,,,,,,,,,,,,,,,4.3,-0.31,No,-0.31,9,4,14,9,4,15,0,0,2,0,0,1,-0.17,79,72,85,0.29,,,,,,,,,,,,,,,,1104,21,13,29,0.00,
38025,North Dakota,Dunn,,52,8236,5330,12157,-0.12,,,,,,,,,,,,,,,,,,,,,15,14,17,-0.14,3.4,3.1,3.7,-0.15,3.5,3.2,3.8,-0.62,,5,3,8,-0.63,,,,,,,,,,,,,,,,21,18,24,-0.08,38,31,46,0.84,8.6,0.02,23,18,29,-0.79,37,0.93,25,24,26,0.78,5,12,42,26,56,0.00,8,186.5,-0.56,21,12,34,-0.25,,,,,,,,,,,,,,,,504,14,12,16,1.70,,,,0.00,,,,0.00,,,,0.00,3735,-0.32,,,,,,50,0.02,,,,,,27,1.09,21,,,,29,2778,3051,91,88,94,-0.14,734,1046,70,60,81,-0.23,51,3153,1.6,-1.02,12,7,17,-0.26,19,,,,4,147714,32112,4.6,0.13,157,1053,15,9,21,-0.21,4,9.2,0.87,9,186,0.64,22,100,63,151,0.19,,,,,,,,,,,,,,,,4.4,-0.21,Yes,3.00,8,5,11,5,2,8,3,1,5,1,0,1,-0.47,78,72,83,0.13,,,,,,,,,,,,,,,,2028,36,29,43,1.80,
38027,North Dakota,Eddy,x,,,,,0.00,,,,,,,,,,,,,,,,,,,,,16,14,19,0.07,3.5,3.2,3.9,0.11,3.7,3.3,4.0,-0.17,x,6,,,-0.24,,,,,,,,,,,,,,,,21,18,25,0.10,34,26,43,-0.12,8.0,0.65,33,25,40,1.38,70,-0.60,24,23,25,0.41,1,1,100,,,2.65,5,215.9,-0.50,,,,0.00,,,,,,,,,,,,,,,,166,9,8,11,-0.05,,,,0.00,3,131,762:1,-1.93,,,,0.00,4017,-0.16,,,,,,60,-1.16,,,,,,31,0.78,,,,,,1483,1658,89,86,93,0.41,314,487,64,51,78,0.44,54,1213,4.5,1.44,14,8,19,0.02,83,,,,5,102750,23175,4.4,-0.06,67,495,14,2,25,-0.34,3,13.0,0.46,4,169,0.46,13,112,59,191,0.60,,,,,,,,,,,,,,,,4.8,0.19,No,-0.31,11,6,17,11,5,17,0,0,2,1,0,2,0.45,68,62,73,-1.51,,,,,,,,,,,,,,,,1162,17,11,22,-0.49,
38029,North Dakota,Emmons,x,,,,,0.00,,,,,,,,,,,,,,,,,,,,,17,14,19,0.14,3.7,3.3,4.2,0.43,3.8,3.4,4.2,0.17,x,6,,,-0.59,,,,,,,,,,,,,,,,22,19,25,0.16,28,22,35,-1.41,7.9,0.76,24,17,31,-0.68,3,2.51,23,21,24,-0.46,2,5,40,15,62,-0.08,5,151.5,-0.64,,,,0.00,,,,,,,,,,,,,,,,311,13,11,15,1.45,1,30,3295:1,0.54,1,31,3241:1,0.55,,,,0.00,6115,1.00,,,,,,50,0.02,,,,,,36,0.40,,,,,,2132,2443,87,85,89,1.15,427,571,75,62,87,-0.78,59,1428,4.1,1.17,18,10,25,0.68,,,,,,99333,21453,4.6,0.17,57,632,9,1,17,-0.77,3,9.1,0.88,2,59,-0.75,20,121,74,186,0.91,,,,,,,,,,,,,,,,4.5,-0.11,No,-0.31,8,5,11,7,4,11,1,0,2,0,0,1,-0.43,71,65,77,-0.96,,,,,,,,,,,,,,,,1465,21,15,27,0.02,
38031,North Dakota,Foster,x,,,,,0.00,,,,,,,,,,,,,,,,,,,,,14,12,16,-0.50,3.1,2.8,3.5,-0.55,3.5,3.1,3.9,-0.73,x,5,,,-1.26,,,,,,,,,,,,,,,,18,15,22,-0.74,41,33,50,1.58,9.5,-0.94,31,24,39,0.90,69,-0.55,23,21,24,-0.47,,,,,,0.00,,,0.00,14,7,25,-0.66,,,,,,,,,,,,,,,,195,8,7,9,-0.66,2,62,1608:1,0.10,4,125,803:1,-1.77,2,62,1605:1,0.48,2983,-0.74,,,,,,56,-0.69,,,,,,45,-0.29,,,,,,2096,2320,90,87,94,0.10,576,704,82,67,97,-1.61,41,1497,2.7,-0.04,11,6,15,-0.47,,,,,,111557,29981,3.7,-0.90,38,697,5,1,10,-1.11,8,24.9,-0.84,1,19,-1.20,18,110,65,174,0.55,,,,,,,,,,,,,,,,4.8,0.19,No,-0.31,6,3,10,4,1,8,1,0,3,1,0,2,-0.85,82,77,87,0.90,,,,,,,,,,,,,,,,1739,14,9,19,-0.85,
38033,North Dakota,Golden Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,17,,3.4,3.0,3.7,,3.6,3.2,4.0,,,,,,,,,,,,,,,,,,,,,,19,16,22,,29,21,38,,6.4,,23,17,31,,39,,24,23,25,,1,3,33,4,64,,7,391.3,,,,,,,,,,,,,,,,,,,,,128,10,8,12,,0,0,1769:0,,0,0,1761:0,,7,398,252:1,,2513,,,,,,,47,,,,,,,30,,,,,,,1196,1288,93,88,97,,307,366,84,69,99,,15,830,1.8,,20,11,28,,,,,,,100342,25053,4.0,,105,367,29,9,48,,3,17.0,,2,81,,,,,,,,,,,,,,,,,,,,,,3.7,,No,,9,3,15,7,1,14,1,0,4,0,0,2,,73,67,80,,,,,,,,,,,,,,,,,967,28,17,39,,
38035,North Dakota,Grand Forks,,687,6823,6108,7539,-0.49,19182,12530,28106,,,,,,,,,,,,,,6492,5726,7258,,16,14,18,-0.05,3.5,3.1,3.8,-0.03,3.9,3.5,4.2,0.35,,7,6,8,0.38,10,6,14,10,7,14,9,7,11,9,6,12,6,6,7,19,16,22,-0.47,32,29,35,-0.65,8.4,0.23,22,20,25,-1.02,82,-1.17,22,21,23,-1.16,9,34,26,17,36,-0.69,413,583.4,0.35,12,10,13,-0.78,41,26,62,,,,29,18,46,42,29,58,8,7,10,4362,7,6,9,-0.82,87,123,813:1,-0.73,60,86,1158:1,-0.82,233,335,298:1,-1.68,3428,-0.49,572,,,,3497,54,-0.45,39,20,67,44,54,57,-1.21,61,21,51,39,57,39369,41399,95,94,96,-1.51,14647,18413,80,75,84,-1.34,773,37105,2.1,-0.61,11,7,15,-0.38,54,33,23,11,11,109960,20936,5.3,0.90,3568,14501,25,20,29,0.71,78,11.0,0.67,170,243,1.26,220,62,54,71,-1.09,,,,,,,,,,,,,,,,6.2,1.58,No,-0.31,17,15,19,15,13,17,2,1,3,1,1,2,1.93,82,81,83,0.82,58,46,70,66,57,75,82,74,90,81,71,91,83,82,85,38404,11,9,12,-1.23,
