,,,Life expectancy,,,,,,,,,,,,,,,,,,Premature age-adjusted mortality,,,,,,,,,,,,,,,,,,,Child mortality,,,,,,,,,,,,,,,,,,,Infant mortality,,,,,,,,,,,,,,,,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,,,,,,,,,,,,,,,,,,Motor vehicle crash deaths,,,,,,,,,,,,,,,,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Other primary care providers,,High school graduation,,Disconnected youth,,,Reading scores,,,,,Math scores,,,,,Median household income,,,,,,,,,,,,,,,,,,Children eligible for free or reduced price lunch,Residential segregation - Black/White,Residential segregation - non-White/White,Homicides,,,,,,,,,,,,,,,,,,Suicides,,,,,,,,,,,,,,,,,,,,Firearm fatalities,,,,,,,,,,,,,,,,,,,Juvenile arrests,,,,Traffic volume,Homeownership,,,,Severe housing cost burden,,,,Broadband access,,,,Population,% below 18 years of age,% 65 and older,% Non-Hispanic Black,,% American Indian & Alaska Native,,% Asian,,% Native Hawaiian/Other Pacific Islander,,% Hispanic,,% Non-Hispanic White,,% not proficient in English,,,,% Females,% Rural,,
46019,South Dakota,Butte,77.3,75.5,79.0,,,,,,,,,,,,,,,,141,368,302,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,13,12,11,13,12,8,16,,,1150,11,884,9,,,,,,,,,,,,,,,,,,,,14,19,11,33,,,,,,,,,,,,,,,,30,29,32,908,16,13,19,173,7,5,9,58,1738:1,135,92,,,,2.8,,,,,2.6,,,,,50105,43078,57132,,,,,,,,,,30625,15755,45495,48680,41881,55479,45,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1200,42,94,3211,77,73,81,473,12,7,17,76,3158,70,81,10429,24.7,20.5,49,0.5,263,2.5,45,0.4,11,0.1,392,3.8,9495,91.0,3,0,0,1,49.0,4870,48.2,
46021,South Dakota,Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,10,10,9,11,8,4,15,,,110,8,472,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,27,30,85,11,9,13,23,10,7,13,0,1376:0,,,,,,,,,,,,,,,,56043,49064,63022,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,100,,12,582,86,82,91,41,6,0,12,72,482,67,76,1376,16.4,29.3,3,0.2,19,1.4,7,0.5,0,0.0,37,2.7,1305,94.8,0,0,0,3,48.3,1466,100.0,
46023,South Dakota,Charles Mix,74.7,72.4,77.0,63.6,59.3,67.9,,,,,,,,,,80.8,78.5,83.0,145,516,427,604,1109,869,1394,,,,,,,,,,283,212,370,13,117,62,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,15,14,13,15,9,6,16,,,1250,13,348,4,,,,,,,,,,,,,,,,,,,,16,24,14,40,,,,,,,,,,,,,,,,33,32,34,996,21,18,24,267,10,7,12,194,516:1,,,23,14,32,3.0,,,,,3.1,,,,,51340,46839,55841,31250,25819,36681,,,,,,,38750,23671,53829,55528,53151,57905,78,,41,15,7,28,,,,,,,,,,,,,,,,11,30,14,55,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1100,37,20,2244,71,68,74,221,7,5,10,66,2093,64,69,9292,29.8,18.6,55,0.6,3038,32.7,24,0.3,1,0.0,345,3.7,5769,62.1,0,0,0,1,49.6,9129,100.0,
46025,South Dakota,Clark,80.0,77.1,82.9,,,,,,,,,,,,,,,,42,309,214,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,12,11,10,13,12,7,18,,,400,11,543,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,29,33,300,15,13,18,86,9,6,12,27,3736:1,,,,,,3.0,,,,,3.2,,,,,54158,48652,59664,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,300,0,12,1227,79,76,83,159,11,6,15,75,1154,70,79,3736,26.9,21.8,54,1.4,23,0.6,24,0.6,0,0.0,131,3.5,3487,93.3,36,1,0,3,48.7,3691,100.0,
46027,South Dakota,Clay,79.0,77.6,80.5,,,,,,,,,,,,,,,,137,349,288,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,12,11,10,12,11,6,16,9,74,1720,12,1479,11,,,,,,,,,,,,,,,,,,,,11,11,6,20,,,,,,,,,,,,,,,,31,29,33,908,12,9,14,125,5,3,7,107,938:1,98,88,,,,3.2,,,,,3.0,,,,,51039,44492,57586,,,,,,,,,,,,,,,,30,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1000,25,177,2811,54,52,56,990,19,14,25,88,4585,84,91,14070,17.4,12.6,223,1.6,541,3.8,376,2.7,11,0.1,444,3.2,12263,87.2,80,1,0,1,50.1,3372,24.3,
46029,South Dakota,Codington,80.6,79.5,81.8,,,,,,,,,,,,,,,,279,285,250,319,,,,,,,,,,,,,,,,14,52,28,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,12,11,10,12,10,9,12,8,35,2970,11,2654,10,,,,,,,,,,,,,,,,,,,,30,15,10,22,,,,,,,,,,,,,,,,31,29,32,1776,11,9,13,311,4,3,6,82,1218:1,364,87,,,,3.3,,,,,3.2,,,,,63442,56403,70481,11929,5042,18816,,,,83675,82816,84534,54712,21749,87675,57536,53209,61863,32,73,26,,,,,,,,,,,,,,,,,,,18,14,8,22,13,,,,,,,,,,,,,,,,13,9,5,16,,,,,,,,,,,,,,,,,78,3100,25,192,7881,65,63,68,1491,13,10,16,81,9735,77,84,28009,23.7,18.3,206,0.7,762,2.7,200,0.7,2,0.0,682,2.4,25899,92.5,79,0,0,1,49.8,6116,22.5,
46031,South Dakota,Corson,65.2,61.9,68.5,,,,,,,,,,,,,,,,106,945,759,1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18,22,17,16,19,20,16,24,,,890,21,2335,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,36,39,605,28,24,32,143,10,6,13,98,1022:1,,,15,5,24,2.6,,,,,2.3,,,,,32848,29484,36212,22241,18720,25762,,,,,,,,,,60833,49234,72432,99,,35,,,,,,,,,,,,,,,,,,,10,55,26,101,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,700,0,2,643,54,50,57,116,11,7,15,61,723,57,64,4086,36.6,12.0,18,0.4,2672,65.4,24,0.6,2,0.0,216,5.3,1184,29.0,0,0,,,50.3,4050,100.0,
46033,South Dakota,Custer,80.0,77.7,82.2,,,,,,,,,,,,,,,,138,329,260,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,11,11,10,12,16,11,23,,,950,11,650,8,,,,,,,,,,,,,,,,,,,,15,25,14,41,,,,,,,,,,,,,,,,30,29,32,643,14,11,16,92,7,5,10,45,2243:1,61,98,,,,2.9,,,,,3.0,,,,,63665,54918,72412,99643,67187,132099,,,,,,,,,,58117,50544,65690,34,,8,,,,,,,,,,,,,,,,,,,12,25,12,48,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,700,27,32,3256,84,81,87,387,10,7,14,79,3078,75,84,8972,14.8,31.7,53,0.6,339,3.8,53,0.6,2,0.0,393,4.4,8006,89.2,92,1,0,2,50.5,8216,100.0,
46035,South Dakota,Davison,78.6,77.4,79.9,,,,,,,,,,,,,,,,247,362,315,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,11,11,10,12,11,8,15,11,67,2230,11,1267,6,,,,,,,,,,,,,,,,,,,,14,10,6,17,,,,,,,,,,,,,,,,30,28,31,1305,12,10,14,241,5,4,7,116,860:1,235,92,,,,3.4,,,,,3.4,,,,,57367,49546,65188,,,,,,,,,,,,,,,,34,69,22,,,,,,,,,,,,,,,,,,,15,16,9,27,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,2100,35,210,5170,60,56,63,913,11,8,14,82,7118,79,86,19775,23.0,19.1,158,0.8,684,3.5,133,0.7,19,0.1,733,3.7,17785,89.9,0,0,0,0,50.0,4549,23.3,
46037,South Dakota,Day,76.7,74.0,79.5,,,,,,,,,,,,,,,,84,426,329,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,13,12,11,13,11,6,16,,,690,13,1004,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,29,32,459,16,14,19,124,10,7,13,74,1356:1,,,,,,3.4,,,,,3.5,,,,,51516,44142,58890,26792,7273,46311,,,,,,,,,,49625,44273,54977,33,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,600,22,16,1938,75,73,78,259,10,7,14,70,1808,67,74,5424,22.4,26.2,23,0.4,539,9.9,34,0.6,0,0.0,135,2.5,4625,85.3,0,0,0,1,49.2,5710,100.0,
