,,,Life expectancy,,,,,,,,,,,,,,,,,,Premature age-adjusted mortality,,,,,,,,,,,,,,,,,,,Child mortality,,,,,,,,,,,,,,,,,,,Infant mortality,,,,,,,,,,,,,,,,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,,,,,,,,,,,,,,,,,,Motor vehicle crash deaths,,,,,,,,,,,,,,,,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Other primary care providers,,High school graduation,,Disconnected youth,,,Reading scores,,,,,Math scores,,,,,Median household income,,,,,,,,,,,,,,,,,,Children eligible for free or reduced price lunch,Residential segregation - Black/White,Residential segregation - non-White/White,Homicides,,,,,,,,,,,,,,,,,,Suicides,,,,,,,,,,,,,,,,,,,,Firearm fatalities,,,,,,,,,,,,,,,,,,,Juvenile arrests,,,,Traffic volume,Homeownership,,,,Severe housing cost burden,,,,Broadband access,,,,Population,% below 18 years of age,% 65 and older,% Non-Hispanic Black,,% American Indian & Alaska Native,,% Asian,,% Native Hawaiian/Other Pacific Islander,,% Hispanic,,% Non-Hispanic White,,% not proficient in English,,,,% Females,% Rural,,
30017,Montana,Custer,78.3,76.7,80.0,,,,,,,,,,,,,,,,152,338,281,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,12,14,12,15,11,8,14,6,61,1190,10,2291,20,,,,,,,,,,,,,,,,,,,,13,16,8,27,,,,,,,,,,,,,,,,33,32,35,688,10,9,12,154,6,4,8,149,671:1,139,93,,,,3.0,,,,,2.9,,,,,49379,43310,55448,,,,,,,,,,113162,8263,218061,53471,47742,59200,47,,46,,,,,,,,,,,,,,,,,,,14,22,12,38,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,14,1100,45,151,3371,69,65,72,560,12,9,15,76,3750,74,79,11402,20.7,20.7,64,0.6,260,2.3,83,0.7,10,0.1,426,3.7,10387,91.1,27,0,0,1,50.1,2095,17.9,
30019,Montana,Daniels,82.1,77.8,86.4,,,,,,,,,,,,,,,,24,331,196,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,12,13,12,15,14,8,24,,,120,7,105,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,31,35,100,11,9,13,34,9,6,12,237,423:1,,,,,,2.6,,,,,2.6,,,,,50001,42689,57313,,,,,,,,,,56167,54634,57700,60208,50027,70389,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,0,200,,0,672,78,73,84,60,7,1,13,74,637,65,84,1690,20.8,28.3,3,0.2,45,2.7,3,0.2,0,0.0,54,3.2,1551,91.8,0,0,0,3,48.6,1751,100.0,
30021,Montana,Dawson,80.8,79.1,82.6,,,,,,,,,,,,,,,,104,296,236,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,12,13,12,15,11,8,14,5,68,810,9,771,9,,,,,,,,,,,,,,,,,,,,11,17,9,31,,,,,,,,,,,,,,,,34,33,36,404,9,7,10,105,5,4,7,186,538:1,97,87,,,,2.7,,,,,2.6,,,,,56677,49061,64293,,,,,,,,,,58063,18457,97669,59421,51764,67078,34,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,6,800,29,90,2683,68,63,73,331,9,3,14,78,3048,71,84,8613,21.4,20.4,37,0.4,205,2.4,53,0.6,3,0.0,261,3.0,7942,92.2,3,0,0,1,48.2,2472,27.6,
30023,Montana,Deer Lodge,77.0,75.0,79.0,,,,,,,,,,,,,,,,154,381,313,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,15,16,14,17,15,9,23,,,1310,14,275,3,,,,,,,,,,,,,,,,,,,,10,16,7,29,,,,,,,,,,,,,,,,34,32,36,541,11,9,12,78,6,4,8,109,914:1,77,78,,,,2.9,,,,,2.9,,,,,41780,37835,45725,,,,,,,,,,26016,17083,34949,42837,40017,45657,51,,37,16,7,29,,,,,,,,,,,,,,,,20,40,23,64,44,,,,,,,,,,,,,,,,19,42,25,65,,,,,,,,,,,,,,,,60,14,600,123,139,2645,68,65,70,462,12,8,17,74,2894,69,79,9140,13.7,24.5,43,0.5,368,4.0,45,0.5,8,0.1,338,3.7,8197,89.7,0,0,0,1,46.4,3128,33.6,
30025,Montana,Fallon,78.5,75.1,81.9,,,,,,,,,,,,,,,,34,330,224,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,12,13,12,15,8,5,13,,,230,8,201,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,32,35,164,10,8,12,66,8,5,11,141,712:1,,,,,,,,,,,3.4,,,,,65651,56440,74862,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,1-4,400,,0,961,72,66,78,64,5,1,10,81,1075,74,87,2846,27.3,17.0,5,0.2,28,1.0,21,0.7,5,0.2,46,1.6,2698,94.8,0,0,0,2,49.0,2890,100.0,
30027,Montana,Fergus,78.5,77.1,80.0,,,,,,,,,,,,,,,,160,335,278,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,13,13,12,15,12,9,16,,,1130,10,1267,11,,,,,,,,,,,,,,,,,,,,14,18,10,30,,,,,,,,,,,,,,,,32,30,33,807,14,11,16,241,10,7,13,63,1579:1,124,84,,,,,,,,,3.0,,,,,48703,42898,54508,,,,,,,,,,,,,,,,45,,33,,,,,,,,,,,,,,,,,,,12,18,9,34,21,,,,,,,,,,,,,,,,12,21,11,37,,,,,,,,,,,,,,,,38,5,1000,43,120,3578,73,68,77,579,13,8,17,79,3863,75,82,11050,20.5,25.2,33,0.3,198,1.8,54,0.5,0,0.0,243,2.2,10355,93.7,4,0,0,1,48.9,5496,47.4,
30029,Montana,Flathead,79.8,79.2,80.3,,,,,,,,,,86.0,78.2,93.9,79.8,79.2,80.3,1169,287,269,304,,,,,,,,,,,,,,,,36,41,28,56,,,,,,,,,,,,,,,,39,5,3,7,,,,,,,,,,,,,,,,11,10,12,13,12,15,8,6,10,41,48,9510,10,3956,4,36,12,8,16,,,,,,,,,,,,,,,,102,15,12,18,,,,,,,,,,,,,,,,30,28,32,6861,12,10,13,1228,5,4,7,136,736:1,1052,88,7,3,11,3.2,,,3.0,3.2,3.1,,,2.9,3.1,61334,56294,66374,,,,104934,64361,145507,40565,10604,70526,,,,56509,53533,59485,36,78,33,3,2,4,,,,,,,,,,,,,,,,125,25,20,29,25,,,,,,,,,,,,,,,,91,18,15,22,,,,,,,,,,,,,,,,320,25,10300,33,183,28738,74,73,76,4818,13,11,14,84,32575,83,85,103806,21.7,20.2,284,0.3,1370,1.3,837,0.8,83,0.1,3131,3.0,96151,92.6,347,0,0,1,50.2,46814,51.5,
30031,Montana,Gallatin,82.6,82.1,83.2,,,,89.1,78.7,99.5,,,,98.0,72.4,123.5,82.6,82.1,83.2,669,192,177,206,,,,,,,,,,,,,,,,33,38,26,53,,,,,,,,,,,,,,,,28,3,2,5,,,,,,,,,,,,,,,,10,9,11,12,11,13,5,4,6,51,54,7800,8,3103,3,30,9,6,13,,,,,,,,,,,,,,,,80,11,9,14,,,,,,,,,,,,,,,,28,27,30,7163,10,8,11,1194,5,4,6,128,784:1,879,89,,,,3.5,,,,,3.5,,,2.8,3.5,73731,68266,79196,41306,4478,78134,105754,83228,128280,54567,15273,93861,48594,34008,63180,67366,64545,70187,21,88,23,2,1,3,,,,,,,,,,,,,,,,119,22,18,26,22,,,,,,,,,,,,,,,,82,15,12,19,,,,,,,,,,,,,,,,251,23,9600,29,206,26781,61,60,63,6259,15,13,16,87,38116,85,89,114434,19.7,13.1,499,0.4,1203,1.1,1813,1.6,94,0.1,4558,4.0,104460,91.3,183,0,0,0,48.1,30025,33.5,
30033,Montana,Garfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,13,14,13,16,11,6,18,,,80,7,237,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,31,35,113,16,13,20,58,21,15,27,79,1258:1,,,,,,3.3,,,,,2.9,,,,,43106,36809,49403,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,100,0,14,320,73,66,80,42,11,0,22,76,333,70,82,1258,23.2,24.1,5,0.4,8,0.6,1,0.1,0,0.0,9,0.7,1227,97.5,0,0,0,5,49.8,1206,100.0,
30035,Montana,Glacier,70.9,69.1,72.8,66.8,64.5,69.2,,,,,,,,,,79.9,77.5,82.3,276,687,603,770,915,789,1041,,,,,,,,,,317,235,418,15,88,49,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18,21,20,18,21,16,14,18,,,2550,19,1402,10,,,,,,,,,,,,,,,,,,,,45,47,34,63,,,,,,,,,,,,,,,,37,35,38,1783,23,20,27,342,8,6,10,95,1058:1,192,63,25,12,38,2.2,,,,,2.3,,,,,41808,36266,47350,30390,26933,33847,,,,,,,122188,4295,240081,45074,31620,58528,66,,72,,,,,,,,,,,,,,,,,,,22,32,20,49,32,,,,,,,,,,,,,,,,14,20,11,34,,,,,,,,,,,,,,,,25,1-4,1800,,38,2447,59,54,64,367,9,6,13,66,2749,61,71,13753,31.4,12.6,38,0.3,8892,64.7,49,0.4,3,0.0,491,3.6,4148,30.2,24,0,0,1,51.5,5897,44.0,
